SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010110000003,万州****网吧 ,108.384069,30.832581,1,2,0,0,万州区
50010110000004,万州****A城）,108.450365,30.770759,1,20,0,0,万州区
50010110000005,万州****网吧）,108.371715,30.820294,1,70,0,0,万州区
50010110000006,万州****昆网吧,108.413439,30.710054,0,0,0,0,万州区
50010110000007,万州****潮网吧,108.398586,30.789703,0,0,0,0,万州区
50010110000008,万州****云网吧,108.36863,30.829277,1,34,0,0,万州区
50010110000010,万州****限网吧,108.391527,30.804756,1,2,1,104,万州区
50024010000012,石柱****天网吧,108.229161,30.417776,0,0,0,0,万州区
50010110000159,万州****侠网吧,108.384557,30.817114,1,3,0,0,万州区
50010110000160,万州****兴网吧,108.370262,30.821808,1,3,0,0,万州区
50010110000161,万州****潭网吧,108.413439,30.710054,1,14,0,0,万州区
50010110000162,万州****全网吧,108.394619,30.761707,1,53,0,0,万州区
50010110000163,万州****源网吧,108.38322,30.756913,1,64,0,0,万州区
50010110000165,万州****国网吧,108.385472,30.758751,1,125,0,0,万州区
50010110000166,万州****城网吧,108.383627,30.819685,1,2,0,0,万州区
50010110000167,万州****胜网吧,108.379217,30.787324,1,104,0,0,万州区
50010110000168,万州****微网吧,108.41594,30.772747,1,1,0,0,万州区
50010110000169,万州****煌网吧,108.378739,30.807855,0,0,0,0,万州区
50010110000170,万州****河网吧,108.389538,30.81337,0,0,0,0,万州区
50010110000171,万州****森网吧,108.380871,30.871942,0,0,0,0,万州区
50010110000172,万州****苑网吧,108.36585,30.859988,0,0,0,0,万州区
50010110000173,万州****灵网吧,108.417055,30.770688,1,9,0,0,万州区
50010110000174,万州****煌巢）,108.401842,30.831607,0,0,1,2,万州区
50010110000177,万州****晟网吧,108.384352,30.832413,0,0,0,0,万州区
50010110000178,万州****实网吧,108.379234,30.831181,0,0,0,0,万州区
50010110000179,万州****魂网吧,108.35928,30.831249,0,0,0,0,万州区
50010110000180,万州****悦网吧,108.395296,30.761877,1,53,0,0,万州区
50010110000181,万州****韵网吧,108.372343,30.858172,1,29,0,0,万州区
50010110000182,万州****熳网吧,108.417639,30.769662,1,18,0,0,万州区
50010110000183,万州****之行）,108.024606,30.776341,0,0,0,0,万州区
50010110000184,万州****城网吧,108.398667,30.765968,1,28,0,0,万州区
50010110000185,万州****A城),108.387313,30.802945,0,0,0,0,万州区
50010110000186,万州****网吧 ,108.38322,30.756913,1,171,0,0,万州区
50010110000187,万州****作网吧,108.358625,30.715145,1,40,1,70,万州区
50010110000189,万州****色网吧,108.378739,30.807855,1,8,0,0,万州区
50010110000190,万州****者网吧,108.397705,30.833597,1,1,0,0,万州区
50010110000191,万州****才网吧,108.384708,30.804742,1,1,0,0,万州区
50010110000192,万州****度网吧,108.376415,30.851903,0,0,0,0,万州区
50010110000193,万州****网城）,108.447041,30.76651,0,0,0,0,万州区
50010110000012,万州****曦网吧,108.387882,30.809576,0,0,0,0,万州区
50010110000013,万州****星网吧,108.401573,30.76114,1,1,1,1,万州区
50010110000014,万州****觉网吧,108.424149,30.686028,0,0,0,0,万州区
50010110000015,万州****月网吧,108.377113,30.82251,1,11,0,0,万州区
50010110000016,万州****A城),108.450365,30.770759,1,10,0,0,万州区
50010110000017,万州****情网吧,108.38948,30.813586,1,2,0,0,万州区
50010110000019,万州****云网吧,108.389864,30.802786,0,0,0,0,万州区
50010110000020,万州****安网吧,108.661564,30.806487,1,20,0,0,万州区
50010110000022,万州****欧网吧,108.386063,30.813202,0,0,0,0,万州区
50010110000023,万州****B城),108.451608,30.76974,0,0,0,0,万州区
50010110000024,万州****阳网吧,108.262007,30.510423,0,0,0,0,万州区
50010110000026,万州****散网吧,108.397109,30.830695,1,1,1,1,万州区
50010110000027,万州****B城),108.389864,30.802786,0,0,0,0,万州区
50010110000028,万州****离网吧,108.378859,30.848859,1,28,0,0,万州区
50010110000029,万州****站网吧,108.38733,30.808314,1,32,0,0,万州区
50010110000001,万州****吉祥）,108.388513,30.815766,1,23,0,0,万州区
50010110000030,万州****吉网吧,108.394295,30.829173,1,9,0,0,万州区
50010110000031,万州****宇网吧,108.377629,30.850137,1,4,0,0,万州区
50010110000032,万州****涛网吧,108.412526,30.838402,1,2,0,0,万州区
50010110000033,万州****网吧),108.415,30.839271,1,4,0,0,万州区
50010110000034,万州****车网吧,107.969008,30.806811,0,0,0,0,万州区
50010110000036,万州****神网吧,108.387901,30.816055,0,0,0,0,万州区
50010110000037,万州****都网吧,108.383684,30.819846,0,0,0,0,万州区
50010110000038,万州****F城),108.465256,30.782344,0,0,0,0,万州区
50010110000039,万州****维安),108.387313,30.802945,0,0,0,0,万州区
50010110000040,万州****手指),108.377045,30.851604,0,0,0,0,万州区
50010110000041,万州****涵网吧,108.416894,30.77066,1,3,0,0,万州区
50010110000043,万州****化网吧,108.289752,30.672901,0,0,0,0,万州区
50010110000044,万州****休闲）,108.401989,30.761491,1,1,0,0,万州区
50010110000045,万州****下网吧,108.396194,30.781311,0,0,0,0,万州区
50010110000046,万州****林网吧,108.416384,30.769594,1,10,0,0,万州区
