SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50099910000013,丰都****限公司,107.741235,29.872949,0,0,0,0,丰都县
50023310000054,忠县****宇网吧,107.893551,30.050106,0,0,0,0,丰都县
50023010000001,丰都****乐网吧,107.737837,29.876064,0,0,0,0,丰都县
50023010000002,丰都****络会所,107.742363,29.875535,1,1,0,0,丰都县
50023010000003,丰都****家网吧,107.844393,30.100302,0,0,0,0,丰都县
50023010000004,丰都****子网吧,107.997555,29.843666,0,0,0,0,丰都县
50023010000005,丰都****动网吧,107.742789,29.873092,0,0,0,0,丰都县
50023010000007,丰都****昌网吧,107.729835,29.868603,0,0,0,0,丰都县
50023010000008,丰都****休闲吧,107.706603,29.878815,0,0,0,0,丰都县
50023010000009,丰都****代网吧,107.99541,29.843018,0,0,0,0,丰都县
50023010000010,丰都****村网吧,107.983374,29.973757,0,0,0,0,丰都县
50023010000011,丰都****感网吧,107.739245,29.873483,1,1,0,0,丰都县
50023010000012,丰都****兴网吧,107.935476,29.813213,0,0,0,0,丰都县
50023010000013,丰都****间网吧,107.615485,29.83573,0,0,0,0,丰都县
50023010000014,丰都****达网吧,107.872798,30.02499,0,0,0,0,丰都县
50023010000015,丰都****纪网吧,107.706806,29.877345,0,0,0,0,丰都县
50023010000078,丰都****凌网吧,108.123363,29.636748,0,0,0,0,丰都县
50023010000079,丰都****乐部）,107.62786,29.997049,0,0,0,0,丰都县
50023010000080,丰都****虹网吧,107.874465,30.028908,0,0,0,0,丰都县
50023010000081,丰都****心网吧,107.650881,29.909729,0,0,0,0,丰都县
50023010000083,丰都****停业）,107.797266,30.172431,0,0,0,0,丰都县
50023010000053,丰都****捷网吧,107.62786,29.997049,0,0,0,0,丰都县
50023010000054,丰都****叶网吧,107.687882,29.76805,0,0,0,0,丰都县
50023010000055,丰都****首网吧,107.740595,29.843995,0,0,0,0,丰都县
50023010000056,丰都****停业）,107.740595,29.843995,1,1,0,0,丰都县
50023010000057,丰都****会所）,107.837517,29.890596,1,2,0,0,丰都县
50023010000058,丰都****龙网吧,107.739017,29.87147,0,0,0,0,丰都县
50023010000059,丰都****鸟网吧,107.735731,29.871954,1,28,0,0,丰都县
50023010000060,丰都****龙网吧,107.74139,29.87234,0,0,0,0,丰都县
50023010000061,丰都****会所）,107.731269,29.872661,0,0,0,0,丰都县
50023010000062,丰都****会所）,107.735731,29.871954,0,0,1,1,丰都县
50023010000065,丰都****乐网吧,107.727604,29.86735,0,0,0,0,丰都县
50023010000066,丰都****络世界,107.750454,29.989283,0,0,0,0,丰都县
50023010000067,丰都****痕网吧,107.743318,29.875001,1,5,0,0,丰都县
50023010000068,丰都****城网吧,107.871073,30.023859,0,0,0,0,丰都县
50023010000069,丰都****休闲吧,107.660364,30.107153,0,0,0,0,丰都县
50023010000070,丰都****民网吧,107.99541,29.843018,0,0,0,0,丰都县
50023010000073,丰都****泰网吧,107.706382,29.878455,0,0,0,0,丰都县
50023010000016,丰都****鑫网吧,107.706483,29.878685,0,0,0,0,丰都县
50023010000017,丰都****昕网吧,107.707215,29.878444,0,0,0,0,丰都县
50023010000019,丰都****网吧）,107.735731,29.871954,0,0,0,0,丰都县
50023010000020,丰都****停业),107.713046,30.064686,0,0,0,0,丰都县
50023010000021,丰都****天网吧,107.72998,29.867673,0,0,0,0,丰都县
50023010000022,丰都****网吧）,107.837517,29.890596,0,0,0,0,丰都县
