SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010410000040,大渡****络会所,106.496898,29.495405,0,0,0,0,九龙坡区
50010410000045,大渡****（络）,106.495661,29.4954,0,0,0,0,九龙坡区
50010410000048,大渡****特网吧,106.501839,29.496287,0,0,0,0,九龙坡区
50010410000049,大渡****尔网吧,106.502854,29.495375,0,0,0,0,九龙坡区
50010410000055,大渡****下网吧,106.491814,29.495342,0,0,1,3,九龙坡区
50010410000002,大渡****娱会所,106.495194,29.49522,0,0,0,0,九龙坡区
50010410000004,大渡****里网吧,106.443454,29.4925,0,0,0,0,九龙坡区
50010410000006,大渡****点网吧,106.503856,29.497578,0,0,0,0,九龙坡区
50010410000008,大渡****咣网吧,106.489737,29.495101,0,0,0,0,九龙坡区
50010410000014,大渡****峰网吧,106.500755,29.49585,0,0,0,0,九龙坡区
50010410000017,大渡****凡网吧,106.490678,29.495674,0,0,1,1,九龙坡区
50010410000029,大渡****纪网吧,106.491814,29.495342,0,0,0,0,九龙坡区
50010410000039,大渡****堰网吧,106.501356,29.494697,0,0,0,0,九龙坡区
50010710000281,重庆****程网吧,106.320355,29.525043,0,0,0,0,九龙坡区
50010710000282,九龙****族网吧,106.451019,29.461671,0,0,0,0,九龙坡区
50010710000283,重庆****城网吧,106.386778,29.513828,0,0,0,0,九龙坡区
50010710000284,九龙****络会所,106.33919,29.314646,0,0,0,0,九龙坡区
50010710000285,重庆****悦网吧,106.47984,29.50878,0,0,0,0,九龙坡区
50010710000286,九龙****情深）,106.338876,29.304558,0,0,0,0,九龙坡区
50010710000287,九龙****讯网吧,106.357085,29.333274,0,0,0,0,九龙坡区
50010710001001,（加****丰网吧,106.380329,29.509753,0,0,0,0,九龙坡区
50010710001002,（加****天网吧,106.517708,29.519552,0,0,0,0,九龙坡区
50010710001005,（加****龙网吧,106.544684,29.4908,0,0,0,0,九龙坡区
50010710000068,重庆****阁网吧,106.508805,29.522412,0,0,0,0,九龙坡区
50010710000070,重庆****鑫网吧,106.508144,29.52144,0,0,0,0,九龙坡区
50010710000072,重庆****柯网吧,106.361359,29.425805,0,0,0,0,九龙坡区
50010710000074,重庆****标网吧,106.36284,29.499851,0,0,1,1,九龙坡区
50010710000078,重庆****馨网吧,106.498131,29.512771,0,0,0,0,九龙坡区
50010710000079,九龙****网吧),106.520342,29.509816,0,0,0,0,九龙坡区
50010710000080,亚联****月网吧,106.495322,29.513101,0,0,1,2,九龙坡区
50010710000084,重庆****美网吧,106.452305,29.502131,0,0,1,9,九龙坡区
50010710000085,重庆****淇网吧,106.516539,29.517971,0,0,0,0,九龙坡区
50010710000086,重庆****门网吧,106.294294,29.462204,0,0,0,0,九龙坡区
50010710000087,重庆****拉网吧,106.45868,29.476013,0,0,0,0,九龙坡区
50010710000089,九龙****火网吧,106.523333,29.527181,0,0,0,0,九龙坡区
50010710000090,重庆****返网吧,106.479966,29.507913,0,0,1,14,九龙坡区
50010710000091,九龙****文网吧,106.452422,29.452438,0,0,0,0,九龙坡区
50010710000093,重庆****马网吧,106.37408,29.525247,0,0,1,2,九龙坡区
50010710000098,重庆****兰网吧,106.332994,29.426535,0,0,0,0,九龙坡区
50010710000102,九龙****间网吧,106.513116,29.504434,0,0,0,0,九龙坡区
50010710000103,重庆****都网吧,106.371596,29.528703,0,0,1,3,九龙坡区
50010710000105,重庆****停业）,106.377052,29.494792,0,0,0,0,九龙坡区
50010710000106,重庆****上网吧,106.376708,29.496067,0,0,0,0,九龙坡区
50010710000107,重庆****和网吧,106.449095,29.504581,0,0,1,2,九龙坡区
50010710000108,重庆****兰网吧,106.378409,29.524129,0,0,1,4,九龙坡区
50010710000109,重庆****远网吧,106.376708,29.496067,0,0,0,0,九龙坡区
50010710000110,重庆****香网吧,106.458009,29.47892,0,0,0,0,九龙坡区
50010710000111,九龙****驰网吧,106.51705,29.519656,0,0,0,0,九龙坡区
50010710000113,重庆****名网吧,106.511142,29.520944,0,0,1,39,九龙坡区
50010710000114,重庆****恒网吧,106.492891,29.499465,0,0,0,0,九龙坡区
50010710000115,重庆****号网吧,106.370595,29.434566,0,0,0,0,九龙坡区
50010710000116,九龙****果网吧,106.439509,29.466708,0,0,1,2,九龙坡区
50010710000117,九龙****线网吧,106.521175,29.515416,0,0,0,0,九龙坡区
50010710000118,九龙****兴网吧,106.34022,29.304444,0,0,0,0,九龙坡区
50010710000120,九龙****汇网吧,106.439796,29.46722,0,0,0,0,九龙坡区
50010710000122,九龙****川网吧,106.445727,29.482056,0,0,0,0,九龙坡区
50010710000124,重庆****友网吧,106.448232,29.455581,0,0,1,5,九龙坡区
50010710000125,重庆****君网吧,106.487811,29.503127,0,0,0,0,九龙坡区
50010710000126,重庆****义网吧,106.377337,29.524027,0,0,1,1,九龙坡区
50010710000129,九龙****兰网吧,106.50881,29.517981,0,0,1,3,九龙坡区
50010710000132,九龙****（换）,106.521012,29.512654,0,0,1,14,九龙坡区
50010710000134,九龙****动力),106.523199,29.518132,0,0,0,0,九龙坡区
50010710000136,九龙****限公司,106.528847,29.514991,0,0,0,0,九龙坡区
50010710000137,重庆****天网吧,106.517708,29.519552,0,0,1,4,九龙坡区
50010710000138,重庆****码网吧,106.48175,29.51025,0,0,1,2,九龙坡区
50010710000139,九龙****聚网吧,106.439796,29.46722,0,0,1,2,九龙坡区
50010710000140,重庆****双网吧,106.516539,29.517971,0,0,1,1,九龙坡区
50010710000141,九龙****门网吧,106.521765,29.518745,0,0,0,0,九龙坡区
50010710000008,重庆****影网吧,106.525113,29.519118,0,0,0,0,九龙坡区
50010710000015,重庆****义网吧,106.370595,29.434566,0,0,0,0,九龙坡区
50010710000017,九龙****斯网吧,106.522868,29.514767,0,0,0,0,九龙坡区
50010710000018,重庆****地网吧,106.495722,29.500366,0,0,0,0,九龙坡区
50010710000019,重庆****近网吧,106.523333,29.527181,0,0,1,2,九龙坡区
50010710000020,重庆****来网吧,106.376708,29.496067,0,0,0,0,九龙坡区
50010710000023,九龙****会所),106.517415,29.516238,0,0,0,0,九龙坡区
50010710000030,重庆****辰网吧,106.532809,29.503394,0,0,0,0,九龙坡区
50010710000031,重庆****速网吧,106.510826,29.520297,0,0,1,4,九龙坡区
50010710000032,重庆****奇网吧,106.544684,29.4908,0,0,0,0,九龙坡区
50010710000034,重庆****晴网吧,106.51212,29.520752,0,0,1,23,九龙坡区
50010710000035,九龙****通网吧,106.531894,29.504369,0,0,1,1,九龙坡区
50010710000231,九龙****克网吧,106.519493,29.514253,0,0,1,9,九龙坡区
50010710000232,重庆****格网吧,106.332822,29.303315,0,0,0,0,九龙坡区
50010710000233,重庆****世网吧,106.454108,29.437699,0,0,0,0,九龙坡区
50010710000234,重庆****宇网吧,106.34022,29.304444,0,0,0,0,九龙坡区
50010710000235,重庆****城网吧,106.333505,29.303349,0,0,1,1,九龙坡区
50010710000236,重庆****静网吧,106.496884,29.510617,0,0,0,0,九龙坡区
50010710000238,重庆****城网吧,106.452422,29.452438,0,0,0,0,九龙坡区
50010710000241,重庆****丽网吧,106.377337,29.524027,0,0,0,0,九龙坡区
50010710000243,重庆****地网吧,106.457267,29.502444,0,0,0,0,九龙坡区
50010710000244,九龙****辉网吧,106.441428,29.486244,0,0,1,44,九龙坡区
50010710000249,重庆****鱼网吧,106.480725,29.509866,0,0,0,0,九龙坡区
50010710000252,重庆****星网吧,106.377439,29.497571,0,0,0,0,九龙坡区
50010710000253,重庆****妮网吧,106.491984,29.499827,0,0,0,0,九龙坡区
50010710000254,重庆****龙网吧,106.40667,29.510509,1,1,1,5,九龙坡区
50010710000255,重庆****丰网吧,106.380329,29.509753,0,0,1,2,九龙坡区
50010710000256,重庆****络会所,106.514367,29.505276,0,0,0,0,九龙坡区
50010710000257,重庆****蜂网吧,106.340757,29.309896,0,0,0,0,九龙坡区
50010710000258,亚联****文网吧,106.532959,29.505006,0,0,1,1,九龙坡区
50010710000259,重庆****九网吧,106.379008,29.54501,0,0,0,0,九龙坡区
50010710000142,重庆****盈网吧,106.333269,29.304325,0,0,0,0,九龙坡区
50010710000143,九龙****仁网吧,106.529053,29.514225,0,0,1,6,九龙坡区
50010710000144,九龙****力网吧,106.332822,29.303315,0,0,0,0,九龙坡区
50010710000145,重庆****兹网吧,106.449095,29.504581,0,0,0,0,九龙坡区
50010710000147,重庆****桃网吧,106.356642,29.380042,0,0,0,0,九龙坡区
50010710000149,重庆****天网吧,106.457267,29.502444,0,0,1,1,九龙坡区
50010710000150,重庆****空网吧,106.337798,29.418527,0,0,1,4,九龙坡区
50010710000151,九龙****兰网吧,106.34022,29.304444,0,0,0,0,九龙坡区
50010710000154,九龙****行网吧,106.451843,29.470456,0,0,0,0,九龙坡区
50010710000156,重庆****牌网吧,106.51969,29.517591,0,0,0,0,九龙坡区
50010710000157,重庆****宇网吧,106.487811,29.503127,0,0,1,2,九龙坡区
50010710000158,重庆****满网吧,106.420564,29.487013,0,0,0,0,九龙坡区
