SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50015310000035,北部****人网吧,108.712823,30.942818,0,0,1,3,云阳县
50023510000047,云阳****闲会所,108.708215,30.946022,1,6,0,0,云阳县
50023510000001,云阳****汇网吧,108.704301,30.935014,1,2,0,0,云阳县
50023510000002,云阳****通网吧,108.692919,30.943214,1,22,0,0,云阳县
50023510000003,云阳****缘网吧,108.877858,30.809711,1,1,0,0,云阳县
50023510000004,云阳****卓网吧,108.716771,30.92739,1,42,0,0,云阳县
50023510000005,云阳****心网吧,108.710927,30.934629,1,13,0,0,云阳县
50023510000006,云阳****春雅园,108.943631,31.162626,0,0,0,0,云阳县
50023510000007,云阳****闲网吧,108.70671,30.935851,1,52,0,0,云阳县
50023510000008,云阳****络会所,108.691031,30.947,0,0,0,0,云阳县
50023510000009,云阳****动网吧,108.715983,30.927924,0,0,0,0,云阳县
50023510000010,云阳****青网吧,108.701053,30.938195,1,27,0,0,云阳县
50023510000011,云阳****闲会所,108.863186,31.042409,0,0,0,0,云阳县
50023510000012,云阳****闲会所,108.722512,30.927094,1,13,1,1,云阳县
50023510000013,云阳****网吧 ,108.709259,30.935958,1,4,0,0,云阳县
50023510000014,云阳****藤网吧,108.693378,30.942614,1,48,0,0,云阳县
50023510000015,云阳****群网吧,108.696568,30.941762,1,1,0,0,云阳县
50023510000016,云阳****谷网吧,108.705143,30.935029,0,0,0,0,云阳县
50023510000019,云阳****风网吧,108.701703,30.940342,0,0,0,0,云阳县
50023510000020,云阳****星网吧,108.864066,31.13357,0,0,0,0,云阳县
50023510000021,云阳****强网吧,108.7185,30.928611,0,0,0,0,云阳县
50023510000022,云阳****园网吧,108.718553,30.928587,0,0,0,0,云阳县
50023510000023,云阳****络会所,108.725915,30.933241,1,12,0,0,云阳县
50023510000024,云阳****深网吧,109.088539,30.945539,0,0,0,0,云阳县
50023510000025,云阳****闲会所,108.712898,30.932253,1,5,0,0,云阳县
50023510000026,云阳****络会所,108.712472,30.937597,0,0,0,0,云阳县
50023510000027,云阳****亮网吧,108.705868,30.937878,1,6,0,0,云阳县
50023510000029,云阳****闲会所,108.709773,30.932367,1,17,0,0,云阳县
50023510000030,云阳****闲会所,108.692661,30.94398,1,8,0,0,云阳县
50023510000031,云阳****缘网吧,108.717899,30.928199,1,8,0,0,云阳县
50023510000032,云阳****游网吧,108.714396,30.934698,1,2,0,0,云阳县
50023510000033,云阳****雨网吧,108.697024,30.947329,1,13,0,0,云阳县
50023510000034,云阳****力网吧,108.721198,30.910404,0,0,0,0,云阳县
50023510000035,云阳****约网吧,108.719618,30.911364,1,6,0,0,云阳县
50023510000037,云阳****了网吧,108.757755,30.874644,0,0,0,0,云阳县
50023510000038,云阳****缘网吧,108.826731,31.121082,0,0,0,0,云阳县
50023510000039,云阳****荣网吧,108.803318,31.227846,1,3,0,0,云阳县
50023510000040,云阳****发网吧,108.803318,31.227846,0,0,0,0,云阳县
50023510000041,云阳****宁网吧,109.032497,30.989363,0,0,0,0,云阳县
50023510000042,云阳****君网吧,108.894217,31.339293,0,0,0,0,云阳县
50023510000043,云阳****欣网吧,108.985596,31.190672,0,0,0,0,云阳县
50023510000044,云阳****众网吧,108.687885,31.101481,1,79,0,0,云阳县
50023510000046,云阳****头网吧,108.515747,31.039454,0,0,0,0,云阳县
50010110000042,万州****A城),108.70671,30.935851,1,6,0,0,云阳县
50023510000018,云阳****人网吧,108.706097,30.934393,1,2,0,0,云阳县
50010110000104,万州****君网吧,108.705997,30.941001,0,0,0,0,云阳县
50023510000028,云阳****道网吧,108.72301,30.932646,1,13,1,1,云阳县
50023510000036,云阳****梦网吧,108.757755,30.874644,0,0,0,0,云阳县
50023510000045,云阳****幻网吧,108.803318,31.227846,1,4,0,0,云阳县
