SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010910002007,一往****深网吧,106.42835,29.819517,0,0,0,0,北碚区
50010910002009,文静****经营）,106.448526,29.831696,0,0,0,0,北碚区
50010910000104,重庆****星网吧,106.47736,29.757289,0,0,1,2,北碚区
50010910000105,重庆****曾网吧,106.455585,29.689098,0,0,0,0,北碚区
50010910000106,重庆****卡网吧,106.430692,29.838307,0,0,0,0,北碚区
50010910000107,重庆****发网吧,106.468716,29.73527,0,0,0,0,北碚区
50010910000108,北碚****平网吧,106.447223,29.8284,0,0,0,0,北碚区
50010910000109,重庆****顺网吧,106.441105,29.835415,0,0,0,0,北碚区
50010910000110,北碚****天网吧,106.440823,29.81583,0,0,0,0,北碚区
50010910000111,北碚****湖网吧,106.50876,29.878259,0,0,0,0,北碚区
50010910000112,重庆****兴网吧,106.375851,29.770711,0,0,0,0,北碚区
50010910000113,重庆****豪网吧,106.410495,29.805705,0,0,0,0,北碚区
50010910000114,重庆****龙网吧,106.441125,29.835195,0,0,0,0,北碚区
50010910000115,重庆****和网吧,106.441226,29.834315,0,0,0,0,北碚区
50010910000116,重庆****煦网吧,106.440121,29.830551,0,0,1,2,北碚区
50010910000117,金燕****经营）,106.392288,29.877312,0,0,0,0,北碚区
50010910000119,重庆****网吧）,106.444067,29.830596,0,0,0,0,北碚区
50010910000120,北碚****燕网吧,106.441492,29.817871,0,0,0,0,北碚区
50010910000121,重庆****霞网吧,106.446743,29.827013,0,0,0,0,北碚区
50010910000122,重庆****园网吧,106.443106,29.832473,0,0,0,0,北碚区
50010910000123,北碚****阻网吧,106.661552,30.007731,0,0,0,0,北碚区
50010910000124,北碚****邓网吧,106.441105,29.835435,0,0,0,0,北碚区
50010910000125,重庆****驰网吧,106.413977,29.808032,0,0,0,0,北碚区
50010910000126,重庆****驰网吧,106.444666,29.830897,0,0,1,2,北碚区
50010910000127,重庆****成网吧,106.481223,29.739097,0,0,0,0,北碚区
50010910000129,北碚****网吧）,106.431064,29.838307,0,0,1,1,北碚区
50010910000130,北碚****潮网吧,106.428364,29.819548,0,0,1,3,北碚区
50010910000131,重庆****庭网吧,106.440529,29.837959,0,0,0,0,北碚区
50010910000133,北碚****网吧）,106.431645,29.83902,0,0,0,0,北碚区
50010910000135,重庆****希网吧,106.505957,29.788426,0,0,0,0,北碚区
50010910000136,重庆****益网吧,106.44178,29.82074,0,0,1,1,北碚区
50010910000137,重庆****达网吧,106.431004,29.838311,0,0,0,0,北碚区
50010910000138,重庆****聪网吧,106.48341,29.791253,0,0,0,0,北碚区
50010910000140,重庆****伦网吧,106.500882,29.750591,0,0,0,0,北碚区
50010910000143,重庆****草网吧,106.449627,29.830614,0,0,0,0,北碚区
50010910000144,天磊****经营）,106.505144,29.868727,0,0,0,0,北碚区
50010910000146,重庆****鸿网吧,106.379178,29.771286,0,0,0,0,北碚区
50010910000147,后丰****经营）,106.509101,29.877891,0,0,0,0,北碚区
50010910000148,北碚****桥网吧,106.508537,29.788827,0,0,0,0,北碚区
50010910000149,重庆****宏网吧,106.444247,29.831097,0,0,1,3,北碚区
50010910000150,北碚****－下）,106.429487,29.822562,0,0,0,0,北碚区
50010910000151,重庆****子网吧,106.559806,29.776433,0,0,0,0,北碚区
50010910000152,北碚****达网吧,106.42925,29.821865,0,0,1,2,北碚区
50010910000154,重庆****花园店,106.520342,29.866596,0,0,0,0,北碚区
50010910000155,重庆****卡网吧,106.378643,29.77189,0,0,0,0,北碚区
50010910000156,重庆****润网吧,106.409203,29.807377,0,0,0,0,北碚区
50010910000157,北碚****炬网吧,106.395765,29.759152,0,0,0,0,北碚区
50010910000158,重庆****图网吧,106.429169,29.821679,0,0,0,0,北碚区
50010910000159,重庆****浪网吧,106.430898,29.838319,0,0,0,0,北碚区
50010910000160,北碚****子网吧,106.670929,30.030376,0,0,0,0,北碚区
50010910000161,重庆****网吧）,106.446184,29.82809,0,0,0,0,北碚区
50010910000162,重庆****前网吧,106.471149,29.74547,0,0,0,0,北碚区
50010910000164,重庆****图网吧,106.568118,29.81962,0,0,0,0,北碚区
50010910000165,透视****限公司,106.446353,29.834107,0,0,0,0,北碚区
50010910000166,重庆****网咖）,106.3758,29.770212,0,0,1,1,北碚区
50010910000167,北碚****建网吧,106.45379,29.673413,0,0,0,0,北碚区
50010910000168,北碚****络会所,106.443728,29.829995,0,0,0,0,北碚区
50010910000169,三百****闲会所,106.441414,29.832713,0,0,0,0,北碚区
50010910000171,北碚****生网吧,106.428794,29.823167,0,0,0,0,北碚区
50010910000172,北碚****浪网吧,106.441173,29.834001,0,0,0,0,北碚区
50010910000174,重庆****花网吧,106.409833,29.820296,0,0,0,0,北碚区
50010910000175,北碚****核对）,106.508537,29.788827,0,0,1,2,北碚区
50010910000176,重庆****脸网吧,106.432804,29.825171,0,0,1,1,北碚区
50010910000177,重庆****畅网吧,106.39859,29.808577,0,0,0,0,北碚区
50010910000181,哈利****经营）,106.379142,29.768977,0,0,0,0,北碚区
50010910000183,重庆****锐网吧,106.452456,29.67277,0,0,0,0,北碚区
50010910000184,北碚****天网吧,106.421202,29.863024,0,0,0,0,北碚区
50010910000185,重庆****前网吧,106.446472,29.827178,0,0,0,0,北碚区
50010910000186,北碚****会所）,106.429079,29.822747,0,0,0,0,北碚区
50010910002001,重庆****朝阳店,106.520342,29.866596,0,0,0,0,北碚区
50010910002002,重庆****放路店,106.443304,29.834103,0,0,0,0,北碚区
50010910002003,骑龙****龙网吧,106.378863,29.769404,0,0,0,0,北碚区
50010910002004,幻灵****灵网吧,106.442637,29.828045,0,0,0,0,北碚区
50010910002005,刘俊****俊网吧,106.480017,29.738176,0,0,0,0,北碚区
50010910002006,冲浪****浪网吧,106.520342,29.866596,0,0,0,0,北碚区
50010910000034,重庆****由网吧,106.442637,29.828045,0,0,0,0,北碚区
50010910000035,北碚****贝网吧,106.455563,29.839408,0,0,0,0,北碚区
50010910000036,重庆****虫网吧,106.392288,29.877312,0,0,1,1,北碚区
50010910000037,重庆****空网吧,106.576224,29.899716,0,0,0,0,北碚区
50010910000038,重庆****妹网吧,106.442947,29.830823,0,0,1,1,北碚区
50010910000039,北碚****核对）,106.457681,29.68891,0,0,0,0,北碚区
50010910000040,金德****经营）,106.37648,29.768555,0,0,0,0,北碚区
50010910000041,重庆****口网吧,106.372552,29.757411,0,0,0,0,北碚区
50010910000042,重庆****龙网吧,106.450729,29.82996,0,0,0,0,北碚区
50010910000044,重庆****潮网吧,106.502552,29.734802,0,0,1,2,北碚区
50010910000045,北碚****网吧）,106.429873,29.82251,0,0,0,0,北碚区
50010910000046,重庆****览网吧,106.509101,29.877891,0,0,0,0,北碚区
50010910000047,重庆****满网吧,106.632817,29.89899,0,0,0,0,北碚区
50010910000048,北碚****迪网吧,106.443978,29.829336,0,0,0,0,北碚区
50010910000049,重庆****中网吧,106.441196,29.834585,0,0,0,0,北碚区
50010910000050,重庆****嘉网吧,106.670929,30.030376,0,0,0,0,北碚区
50010910000052,重庆****源网吧,106.42835,29.819517,0,0,0,0,北碚区
50010910000053,东梅****经营）,106.448526,29.831696,0,0,0,0,北碚区
50010910000054,重庆****静网吧,106.572192,29.897784,0,0,0,0,北碚区
50010910000055,重庆****语网吧,106.508537,29.788827,0,0,0,0,北碚区
50010910000056,重庆****乐网吧,106.448394,29.823838,0,0,0,0,北碚区
50010910000057,重庆****久网吧,106.360636,29.751698,0,0,0,0,北碚区
50010910000058,重庆****事网吧,106.44292,29.831001,0,0,0,0,北碚区
50010910000062,重庆****恋网吧,106.42906,29.820927,0,0,1,4,北碚区
50010910000063,重庆****龙网吧,106.440656,29.815665,0,0,1,2,北碚区
50010910000064,重庆****度网吧,106.413759,29.806278,0,0,0,0,北碚区
50010910000065,重庆****新网吧,106.443925,29.826227,0,0,1,1,北碚区
50010910000066,洪涛****经营）,106.480258,29.738172,0,0,0,0,北碚区
50010910000067,重庆****品网吧,106.430452,29.838354,0,0,1,2,北碚区
50010910000068,重庆****建网吧,106.410182,29.81418,0,0,0,0,北碚区
50010910000070,北碚****果网吧,106.444835,29.835802,0,0,0,0,北碚区
50010910000071,重庆****韵网吧,106.508537,29.788827,0,0,1,1,北碚区
50010910000072,北碚****吧（）,106.441206,29.834145,0,0,0,0,北碚区
50010910000073,北碚****点网吧,106.446225,29.832348,0,0,0,0,北碚区
50010910000074,重庆****街网吧,106.441196,29.834535,0,0,0,0,北碚区
50010910000075,北碚****核对）,106.441145,29.835095,0,0,0,0,北碚区
50010910000076,红果****果网吧,106.375851,29.770711,0,0,0,0,北碚区
50010910000077,鸿运****经营）,106.392288,29.877312,0,0,0,0,北碚区
50010910000078,北碚****侣网吧,106.409345,29.812701,0,0,0,0,北碚区
50010910000079,重庆****浪网吧,106.441206,29.834145,0,0,0,0,北碚区
50010910000080,重庆****涛网吧,106.480218,29.737903,0,0,0,0,北碚区
50010910000081,重庆****城网吧,106.522895,29.819772,0,0,0,0,北碚区
50010910000082,重庆****兴网吧,106.508537,29.788827,0,0,0,0,北碚区
50010910000083,重庆****族网吧,106.470484,29.734228,0,0,0,0,北碚区
50010910000084,重庆****琴网吧,106.430698,29.838364,0,0,0,0,北碚区
50010910000085,重庆****间网吧,106.440361,29.837534,0,0,0,0,北碚区
50010910000086,北碚****缘网吧,106.481982,29.736991,0,0,0,0,北碚区
50010910000087,重庆****平网吧,106.398786,29.809628,0,0,0,0,北碚区
50010910000088,佳人****人网吧,106.432454,29.836235,0,0,0,0,北碚区
50010910000089,北碚****核对）,106.401918,29.806803,0,0,0,0,北碚区
50010910000090,北碚****金网吧,106.432738,29.824723,0,0,0,0,北碚区
50010910000091,北碚****核对）,106.441393,29.827238,0,0,0,0,北碚区
50010910000092,北碚****宝网吧,106.438433,29.809116,0,0,0,0,北碚区
50010910000094,北碚****网吧）,106.445803,29.833867,0,0,0,0,北碚区
50010910000095,北碚****泉网吧,106.461984,29.836079,0,0,0,0,北碚区
50010910000096,重庆****浩网吧,106.410495,29.805705,0,0,0,0,北碚区
50010910000097,重庆****驿网吧,106.439903,29.819343,0,0,0,0,北碚区
50010910000098,重庆****泰网吧,106.383755,29.785899,0,0,0,0,北碚区
50010910000100,重庆****源网吧,106.611351,29.958383,0,0,0,0,北碚区
50010910000101,重庆****惯网吧,106.428517,29.819674,0,0,0,0,北碚区
50010910000102,重庆****海网吧,106.430171,29.822154,0,0,0,0,北碚区
50010910000103,重庆****利网吧,106.574933,29.901352,0,0,0,0,北碚区
50010910000001,信游****游网吧,106.378889,29.769354,0,0,0,0,北碚区
