SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010510000044,江北****风网吧,106.609207,29.609128,1,6,0,0,南岸区
50010310000165,渝中****境网吧,106.59138,29.565154,0,0,0,0,南岸区
50010310000186,渝中****岸网吧,106.594154,29.569513,0,0,1,1,南岸区
50010310000201,渝中****冻网吧,106.590692,29.561684,0,0,0,0,南岸区
50010310000272,渝中****华网吧,106.589588,29.569162,0,0,1,1,南岸区
50010310000018,渝中****燕网吧,106.591926,29.56597,0,0,0,0,南岸区
50010810000082,南岸****奇网吧,106.582969,29.539318,0,0,1,1,南岸区
50010810000083,南岸****带网吧,106.56944,29.534468,0,0,0,0,南岸区
50010810000084,南岸****费点）,106.610031,29.541007,0,0,0,0,南岸区
50010810000085,南岸****捷网吧,106.557012,29.526182,0,0,1,1,南岸区
50010810000086,南岸****河网吧,106.565275,29.530821,0,0,1,1,南岸区
50010810000087,南岸****虫网吧,106.564115,29.529238,0,0,0,0,南岸区
50010810000088,南岸****秀网吧,106.575951,29.525501,0,0,0,0,南岸区
50010810000089,南岸****飞网吧,106.601592,29.557362,0,0,1,2,南岸区
50010810000090,南岸****奇网吧,106.575558,29.533055,0,0,1,6,南岸区
50010810000091,南岸****网吧 ,106.581629,29.527554,0,0,0,0,南岸区
50010810000092,南岸****舰网吧,106.56423,29.53477,0,0,0,0,南岸区
50010810000093,南岸****灵网吧,106.559319,29.528188,0,0,0,0,南岸区
50010810000095,南岸****克网吧,106.556912,29.526281,0,0,0,0,南岸区
50010810000096,南岸****雅网吧,106.567316,29.529747,0,0,0,0,南岸区
50010810000099,南岸****顺网吧,106.667178,29.541515,1,3,1,19,南岸区
50010810000100,南岸****达网吧,106.572003,29.534618,0,0,0,0,南岸区
50010810000101,南岸****网网吧,106.564497,29.532705,0,0,0,0,南岸区
50010810000102,南岸****盈网吧,106.58139,29.519783,0,0,1,1,南岸区
50010810000103,南岸****仕网吧,106.568982,29.527803,0,0,0,0,南岸区
50010810000104,南岸****莎网吧,106.667178,29.541515,0,0,0,0,南岸区
50010810000105,南岸****恋网吧,106.608498,29.510449,0,0,1,5,南岸区
50010810000106,南岸****贝网吧,106.686982,29.537473,0,0,0,0,南岸区
50010810000107,南岸****行网吧,106.608167,29.582229,0,0,0,0,南岸区
50010810000108,南岸****花网吧,106.551031,29.518669,0,0,0,0,南岸区
50010810000109,南岸****太网吧,106.566235,29.541463,0,0,0,0,南岸区
50010810000110,南岸****斯网吧,106.578302,29.539864,0,0,1,3,南岸区
50010810000111,南岸****新网吧,106.578766,29.532937,0,0,0,0,南岸区
50010810000112,南岸****益网吧,106.580324,29.495927,0,0,0,0,南岸区
50010810000113,南岸****人网吧,106.607972,29.50589,0,0,0,0,南岸区
50010810000114,南岸****尔网吧,106.667178,29.541515,0,0,1,1,南岸区
50010810000117,南岸****网吧）,106.607054,29.577515,0,0,1,1,南岸区
50010810000118,南岸****概念),106.571261,29.533401,0,0,0,0,南岸区
50010810000119,南岸****影网吧,106.581365,29.517995,0,0,1,2,南岸区
50010810000120,南岸****悦网吧,106.582171,29.538481,0,0,0,0,南岸区
50010810000013,南岸****英网吧,106.576807,29.488708,0,0,0,0,南岸区
50010810000014,南岸****洋网吧,106.666254,29.512704,0,0,0,0,南岸区
50010810000015,南岸****佳网吧,106.598397,29.587488,0,0,0,0,南岸区
50010810000016,南岸****康网吧,106.577922,29.531305,0,0,0,0,南岸区
50010810000017,南岸****通网吧,106.671494,29.512264,0,0,0,0,南岸区
50010810000018,南岸****方网吧,106.601004,29.554857,0,0,0,0,南岸区
50010810000020,南岸****日网吧,106.572086,29.49876,0,0,0,0,南岸区
50010810000022,南岸****店网吧,106.569904,29.530545,0,0,0,0,南岸区
50010810000023,南岸****佳网吧,106.594659,29.549126,0,0,0,0,南岸区
50010810000025,南岸****枫网吧,106.581438,29.519784,0,0,0,0,南岸区
50010810000026,南岸****车网吧,106.606986,29.575257,0,0,1,1,南岸区
50010810000027,南岸****友网吧,106.574975,29.530919,0,0,1,6,南岸区
50010810000028,南岸****网苑),106.600769,29.558045,0,0,0,0,南岸区
50010810000030,南岸****旋网吧,106.612021,29.545993,0,0,0,0,南岸区
50010810000031,南岸****网吧）,106.577394,29.532314,0,0,0,0,南岸区
50010810000032,南岸****赢网吧,106.56944,29.534468,0,0,1,1,南岸区
50010810000033,南岸****潮网吧,106.672904,29.510531,0,0,1,1,南岸区
50010810000034,南岸****园网吧,106.648638,29.492595,0,0,1,1,南岸区
50010810000035,南岸****星网吧,106.584932,29.518629,0,0,0,0,南岸区
50010810000036,南岸****豹网吧,106.567491,29.53266,0,0,1,3,南岸区
50010810000037,南岸****池网吧,106.596697,29.589586,0,0,0,0,南岸区
