SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50011910000001,南川****地网吧,107.10386,29.15837,0,0,0,0,南川区
50011910000002,南川****网吧),107.108298,29.163607,0,0,0,0,南川区
50011910000003,南川****会所）,107.115885,29.158074,0,0,0,0,南川区
50011910000004,南川****沙龙),107.105255,29.159826,0,0,0,0,南川区
50011910000005,南川****网吧）,107.30365,29.25952,0,0,0,0,南川区
50011910000006,南川****网吧）,107.1217,29.311029,0,0,0,0,南川区
50011910000007,南川****人网吧,107.115829,29.156895,0,0,0,0,南川区
50011910000008,南川****网吧）,107.177888,29.141686,0,0,0,0,南川区
50011910000009,南川****会所）,107.105255,29.159826,0,0,0,0,南川区
50011910000011,南川****龙网吧,106.995846,29.086738,0,0,0,0,南川区
50011910000013,南川****虫网吧,107.11435,29.154782,0,0,0,0,南川区
50011910000014,南川****来网吧,107.302793,29.258976,0,0,0,0,南川区
50011910000015,南川****源网吧,107.104296,29.160385,0,0,0,0,南川区
50011910000016,南川****闲吧）,107.111481,29.157585,0,0,0,0,南川区
50011910000017,南川****下网吧,107.11435,29.154782,0,0,0,0,南川区
50011910000018,南川****造网吧,107.102878,29.163988,0,0,0,0,南川区
50011910000019,南川****族网吧,107.177888,29.141686,0,0,0,0,南川区
50011910000020,南川****网吧）,107.102024,29.164528,0,0,0,0,南川区
50011910000021,南川****友网吧,107.090865,29.16108,0,0,0,0,南川区
50011910000022,南川****景网吧,107.177888,29.141686,0,0,0,0,南川区
50011910000023,南川****网城）,107.102483,29.163395,0,0,0,0,南川区
50011910000024,南川****网络）,107.112554,29.155802,0,0,0,0,南川区
50011910000025,南川****会所),107.098929,29.157143,0,0,0,0,南川区
50011910000026,南川****爱网吧,106.986109,29.260224,0,0,0,0,南川区
50011910000027,南川****乐部）,107.115885,29.158074,0,0,0,0,南川区
50011910000028,南川****话网吧,107.115885,29.158074,0,0,0,0,南川区
50011910000029,南川****缘网吧,106.995234,29.087566,0,0,0,0,南川区
50011910000030,南川****界网吧,107.116125,28.93493,0,0,0,0,南川区
50011910000032,南川****代网吧,107.058858,29.114882,0,0,0,0,南川区
50011910000033,南川****玩网吧,107.104983,29.162381,0,0,0,0,南川区
