SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50011710000038,重庆****奔网吧,106.274326,29.986242,1,130,1,1,合川区
50011710000039,重庆****限网吧,106.318029,30.118708,1,75,0,0,合川区
50011710000040,重庆****凡网吧,106.278223,29.979045,0,0,0,0,合川区
50011710000041,重庆****迪网吧,106.081063,30.33717,0,0,0,0,合川区
50011710000042,重庆****梦网吧,106.326247,30.187417,1,31,0,0,合川区
50011710000043,重庆****聚网吧,106.2748,29.99487,1,16,0,0,合川区
50011710000044,重庆****利网吧,106.247962,30.005349,0,0,0,0,合川区
50011710000045,重庆****都网吧,106.41246,29.978868,1,1,0,0,合川区
50011710000046,重庆****典网吧,106.41246,29.978868,0,0,0,0,合川区
50011710000047,重庆****络会所,106.327841,30.184729,0,0,0,0,合川区
50011710000048,重庆****窝网吧,106.082941,30.337398,0,0,0,0,合川区
50011710000049,重庆****亚网吧,106.328172,30.194295,0,0,0,0,合川区
50011710000050,重庆****龙网吧,106.328172,30.194295,0,0,1,4,合川区
50011710000051,重庆****速网吧,106.327841,30.184729,0,0,0,0,合川区
50011710000052,重庆****林网吧,106.328547,30.190084,0,0,0,0,合川区
50011710000053,重庆****月网吧,106.297625,29.977854,1,49,0,0,合川区
50011710000054,重庆****兴网吧,106.474161,30.222834,0,0,0,0,合川区
50011710000055,重庆****友网吧,106.598787,30.081388,0,0,0,0,合川区
50011710000056,重庆****瑞网吧,106.270818,29.980965,0,0,1,6,合川区
50011710000058,重庆****志网吧,106.258442,30.002715,1,44,0,0,合川区
50011710000059,重庆****笑网吧,106.277473,30.012564,0,0,0,0,合川区
50011710000060,重庆****叶网吧,106.32737,30.186406,1,7,0,0,合川区
50011710000061,重庆****槐网吧,106.551663,30.163854,0,0,0,0,合川区
50011710000081,重庆****络会所,106.252064,30.004559,0,0,1,1,合川区
50011710000083,重庆****聚网吧,106.270406,29.985431,0,0,0,0,合川区
50011710000084,重庆****地网吧,106.318029,30.118708,1,3,0,0,合川区
50011710000085,重庆****升网吧,106.326044,30.18819,1,6,0,0,合川区
50011710000086,重庆****云网吧,106.27682,29.998265,0,0,0,0,合川区
50011710000087,重庆**** 停业,106.286854,29.97687,0,0,0,0,合川区
50011710000088,重庆****缘网吧,106.274794,29.986021,1,5,0,0,合川区
50011710000089,重庆****道网吧,106.412034,29.97929,0,0,1,13,合川区
50011710000090,重庆****颖网吧,106.41246,29.978868,0,0,0,0,合川区
