SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50023110000001,垫江****军网吧,107.356455,30.337027,0,0,0,0,垫江县
50023110000055,垫江****光网吧,107.294004,30.080863,0,0,0,0,垫江县
50023110000057,垫江****下网吧,107.35037,30.339119,1,23,0,0,垫江县
50023110000037,垫江****星网吧,107.35633,30.337594,1,8,0,0,垫江县
50023110000038,垫江****下网吧,107.345952,30.333693,0,0,0,0,垫江县
50023110000039,垫江****胜网吧,107.362863,30.084674,0,0,0,0,垫江县
50023110000040,垫江****络会所,107.354398,30.336259,1,11,0,0,垫江县
50023110000041,垫江****流网吧,107.353865,30.336226,1,1,0,0,垫江县
50023110000042,垫江****家网吧,107.448848,30.478694,0,0,0,0,垫江县
50023110000043,垫江****士网吧,107.444445,30.259498,0,0,0,0,垫江县
50023110000044,垫江****雨网吧,107.358645,30.341525,0,0,0,0,垫江县
50023110000045,垫江****海网吧,107.356914,30.336016,0,0,0,0,垫江县
50023110000046,垫江****叶网吧,107.304003,30.269181,1,22,0,0,垫江县
50023110000047,垫江****阳网吧,107.397647,30.401234,1,1,0,0,垫江县
50023110000048,垫江****点网吧,107.36082,30.338214,1,18,0,0,垫江县
50023110000049,垫江****极网屋,107.270353,30.211295,1,32,0,0,垫江县
50023110000051,垫江****航网吧,107.35186,30.327885,0,0,0,0,垫江县
50023110000052,垫江****线网吧,107.355626,30.336909,1,7,0,0,垫江县
50023110000053,垫江****扬网吧,107.355106,30.337088,1,2,0,0,垫江县
50023110000002,垫江****鸟网吧,107.351182,30.332686,0,0,0,0,垫江县
50023110000003,垫江****空网吧,107.364192,30.343926,0,0,0,0,垫江县
50023110000004,垫江****位网吧,107.387916,30.268607,1,37,0,0,垫江县
50023110000006,垫江****越网吧,107.35862,30.341684,1,5,0,0,垫江县
50023110000007,垫江****悦网吧,107.271488,30.213427,1,24,0,0,垫江县
50023110000008,垫江****空网城,107.36082,30.338214,0,0,0,0,垫江县
50023110000009,垫江****上网吧,107.348152,30.337244,1,17,0,0,垫江县
50023110000010,垫江****深网吧,107.35633,30.337594,0,0,0,0,垫江县
50023110000011,垫江****话网吧,107.35633,30.337594,1,60,0,0,垫江县
50023110000012,垫江****智网吧,107.271139,30.209049,1,4,0,0,垫江县
50023110000013,垫江****奇网吧,107.362863,30.084674,0,0,0,0,垫江县
50023110000015,垫江****际网吧,107.549983,30.422439,0,0,0,0,垫江县
50023110000016,垫江****阳网吧,107.361596,30.342243,0,0,0,0,垫江县
50023110000017,垫江****速网吧,107.360349,30.338973,0,0,0,0,垫江县
50023110000018,垫江****仔网吧,107.437244,30.097412,0,0,0,0,垫江县
50023110000019,垫江****尚网吧,107.355626,30.336909,1,58,0,0,垫江县
50023110000020,垫江****络会所,107.35633,30.337594,0,0,0,0,垫江县
50023110000021,垫江****神网吧,107.35633,30.337594,0,0,0,0,垫江县
50011510000082,长寿****网吧),107.361756,30.08724,0,0,0,0,垫江县
50023110000022,垫江****缘网吧,107.355626,30.336909,0,0,0,0,垫江县
50023110000023,垫江****乐网吧,107.418418,30.222496,0,0,0,0,垫江县
50023110000025,垫江****源网吧,107.467099,30.29765,1,21,0,0,垫江县
50023110000026,垫江****纪网吧,107.344844,30.326215,1,3,0,0,垫江县
50023110000028,垫江****区网吧,107.359781,30.337686,0,0,0,0,垫江县
50023110000029,垫江****源网吧,107.433884,30.098839,1,1,0,0,垫江县
50023110000030,垫江****缘网吧,107.440118,30.098481,0,0,0,0,垫江县
50023110000031,垫江****蓝网吧,107.356058,30.336827,1,8,0,0,垫江县
50023110000054,垫江****鑫网吧,107.467099,30.29765,1,1,0,0,垫江县
50023110000056,垫江****络会所,107.358914,30.341608,0,0,0,0,垫江县
50023110000058,垫江****飞网吧,107.429351,30.308103,0,0,0,0,垫江县
50023110000032,垫江****林网吧,107.361566,30.341117,1,32,0,0,垫江县
50023110000033,垫江****典网吧,107.353795,30.336245,1,29,0,0,垫江县
50023110000034,垫江****恒网吧,107.361596,30.342243,0,0,0,0,垫江县
50023110000035,垫江****语网吧,107.355626,30.336909,1,22,1,5,垫江县
50023110000036,垫江****网网吧,107.33608,30.02055,0,0,0,0,垫江县
50023110000024,垫江****网吧 ,107.355626,30.336909,0,0,0,0,垫江县
50023110000005,垫江****约网吧,107.362444,30.327608,0,0,0,0,垫江县
50023110000027,垫江****叶网吧,107.355626,30.336909,0,0,0,0,垫江县
50023110000014,垫江****站网吧,107.354175,30.336458,0,0,0,0,垫江县
