SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010410000041,大渡****昊网吧,106.484794,29.480492,0,0,0,0,大渡口区
50010410000042,大渡****木网吧,106.488974,29.475414,0,0,0,0,大渡口区
50010410000043,大渡****力网吧,106.49316,29.488201,0,0,0,0,大渡口区
50010410000044,大渡****来网吧,106.493422,29.485359,0,0,1,4,大渡口区
50010410000046,大渡****击网吧,106.478323,29.416174,0,0,0,0,大渡口区
50010410000047,大渡****腾网吧,106.48915,29.48141,0,0,0,0,大渡口区
50010410000050,大渡****意网吧,106.485063,29.460774,0,0,0,0,大渡口区
50010410000051,大渡****线网吧,106.486104,29.479997,0,0,1,4,大渡口区
50010410000052,大渡****巢网吧,106.4861,29.479998,0,0,0,0,大渡口区
50010410000053,大渡****络会所,106.489861,29.48479,0,0,0,0,大渡口区
50010410000056,大渡****蹬网吧,106.43922,29.409068,0,0,0,0,大渡口区
50010410000057,大渡****林网吧,106.483033,29.485339,0,0,0,0,大渡口区
50010410000001,大渡****腾网吧,106.488292,29.478548,0,0,1,4,大渡口区
50010410000003,大渡****纪网吧,106.48915,29.48141,0,0,0,0,大渡口区
50010410000005,大渡****怡网吧,106.490725,29.48178,0,0,0,0,大渡口区
50010410000007,大渡****东网吧,106.488911,29.443633,0,0,0,0,大渡口区
50010410000009,大渡****约网吧,106.491748,29.483657,0,0,0,0,大渡口区
50010410000010,大渡****向网吧,106.479117,29.461448,0,0,1,2,大渡口区
50010410000011,大渡****乐网吧,106.496536,29.436599,0,0,1,1,大渡口区
50010410000012,大渡****安网吧,106.513968,29.424628,0,0,0,0,大渡口区
50010410000013,大渡****雨网吧,106.492049,29.483794,0,0,0,0,大渡口区
50010410000015,大渡****尔网吧,106.48612,29.477631,0,0,1,8,大渡口区
50010410000016,大渡****城网吧,106.493608,29.436307,0,0,0,0,大渡口区
50010410000018,大渡****会所),106.488373,29.491069,0,0,0,0,大渡口区
50010410000020,大渡****闲网吧,106.494373,29.487068,0,0,0,0,大渡口区
50010410000021,大渡****蜘网吧,106.470078,29.465988,0,0,0,0,大渡口区
50010410000022,大渡****正网吧,106.513968,29.424628,0,0,0,0,大渡口区
50010410000023,大渡****深网吧,106.48915,29.48141,0,0,0,0,大渡口区
50010410000024,大渡****会所),106.495216,29.488925,0,0,0,0,大渡口区
50010410000025,大渡****枫网吧,106.49012,29.490009,0,0,1,1,大渡口区
50010410000026,大渡****仁网吧,106.48915,29.48141,0,0,0,0,大渡口区
50010410000027,大渡****来网吧,106.492044,29.476266,0,0,0,0,大渡口区
50010410000028,大渡****德网吧,106.473764,29.44613,0,0,0,0,大渡口区
50010410000030,大渡****利网吧,106.477689,29.416312,0,0,0,0,大渡口区
50010410000031,大渡****琴网吧,106.481306,29.484926,0,0,0,0,大渡口区
50010410000032,大渡****鑫网吧,106.487714,29.483129,0,0,1,1,大渡口区
50010410000034,大渡****牛网吧,106.473367,29.423853,0,0,0,0,大渡口区
50010410000035,大渡****我网吧,106.485063,29.460774,0,0,1,9,大渡口区
50010410000036,大渡****莹波）,106.487517,29.477713,0,0,0,0,大渡口区
50010410000037,大渡****联网吧,106.470078,29.465988,0,0,0,0,大渡口区
50010410000038,大渡****聚网吧,106.484537,29.46504,0,0,1,1,大渡口区
50010710000237,重庆****虎网吧,106.456693,29.4394,0,0,1,2,大渡口区
50011310000105,巴南****采网吧,106.514564,29.398062,0,0,0,0,大渡口区
50011310000054,巴南****欧网吧,106.52895,29.390033,0,0,1,1,大渡口区
50011310000056,巴南****点网吧,106.52395,29.3906,0,0,1,5,大渡口区
50011310000077,巴南****座网吧,106.522782,29.393292,0,0,0,0,大渡口区
50023310000066,忠县****浪网吧,106.43922,29.409068,0,0,0,0,大渡口区
50011310000043,巴南****维网吧,106.526003,29.391679,0,0,0,0,大渡口区
50010110000066,万州****G城）,106.488292,29.478548,0,0,0,0,大渡口区
50010110000114,万州****G城）,106.488292,29.478548,0,0,0,0,大渡口区
50010210000052,重庆****浪网吧,106.492044,29.476266,0,0,0,0,大渡口区
50010410000058,大渡****超网吧,106.473764,29.44613,0,0,0,0,大渡口区
50011310000111,巴南****旺网吧,106.52571,29.389602,0,0,0,0,大渡口区
