SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50022510000001, 大****呱网吧,105.762583,29.574142,0,0,0,0,大足区
50011110000011,重庆****帆网吧,105.801055,29.497205,0,0,0,0,大足区
50011110000012,重庆****秀网吧,105.801753,29.495607,0,0,0,0,大足区
50011110000017,重庆****兰网吧,105.80399,29.501011,0,0,0,0,大足区
50011110000018,重庆****辉网吧,105.775648,29.491541,0,0,0,0,大足区
50011110000020,重庆****浪网吧,105.77389,29.492805,0,0,0,0,大足区
50011110000021,重庆****子网吧,105.776824,29.493877,0,0,0,0,大足区
50011110000022,重庆****鼎网吧,105.781176,29.49319,0,0,0,0,大足区
50022510000009,重庆****顺网吧,105.771859,29.567287,0,0,0,0,大足区
50011110000005,重庆****格网吧,105.770641,29.491991,0,0,1,14,大足区
50011110000006,重庆****乐网吧,105.773822,29.493307,0,0,0,0,大足区
50011110000008,重庆****桐网吧,105.777309,29.492614,0,0,0,0,大足区
50011110000010,重庆****翔网吧,105.776036,29.492694,0,0,0,0,大足区
50011110000001,重庆****兰网吧,105.772839,29.488356,0,0,0,0,大足区
50011110000004,重庆****网吧）,105.801272,29.496592,0,0,1,1,大足区
50022510000002,大足****龙网吧,105.633454,29.643659,0,0,0,0,大足区
50022510000003,大足****缘网吧,105.732995,29.708258,0,0,0,0,大足区
50022510000004,大足****叶网吧,105.717888,29.707896,0,0,0,0,大足区
50022510000005,大足****网吧 ,105.73412,29.704672,0,0,0,0,大足区
50022510000006,大足****兴网吧,105.71902,29.703884,0,0,0,0,大足区
50022510000007,大足****会所）,105.722374,29.708793,0,0,0,0,大足区
50022510000008,大足****岛网吧,105.731679,29.706294,0,0,0,0,大足区
50022510000010,大足****线网吧,105.815861,29.549334,0,0,0,0,大足区
50022510000011,大足****来网吧,105.71902,29.703884,0,0,0,0,大足区
50022510000013,大足****络会所,105.727422,29.704887,0,0,0,0,大足区
50022510000014,大足****络会所,105.720407,29.703572,0,0,0,0,大足区
50022510000015,大足****兴网吧,105.84101,29.637721,0,0,1,15,大足区
50022510000016,大足****网城）,105.721068,29.701471,0,0,1,1,大足区
50022510000017,大足****阳网吧,105.737839,29.706544,0,0,0,0,大足区
50022510000031,大足****艺网吧,105.933347,29.766615,0,0,0,0,大足区
50022510000032,大足****川网吧,105.736542,29.70251,0,0,0,0,大足区
50022510000033,大足****月网吧,105.771859,29.567287,0,0,0,0,大足区
50022510000034,大足****络会所,105.628582,29.563282,0,0,0,0,大足区
50022510000036,大足****神网吧,105.777956,29.559509,0,0,0,0,大足区
50022510000037,大足****阳网吧,105.793938,29.66309,0,0,0,0,大足区
50022510000039,大足****祥网吧,105.815861,29.549334,0,0,0,0,大足区
50022510000040,大足****速网吧,105.735292,29.704794,0,0,0,0,大足区
50022510000041,大足****波网吧,105.573507,29.692214,0,0,0,0,大足区
50022510000042,大足****强网吧,105.833359,29.547911,0,0,0,0,大足区
50022510000043,大足****说网吧,105.676212,29.769443,0,0,0,0,大足区
50022510000045,大足****你网吧,105.933347,29.766615,0,0,0,0,大足区
50022510000046,大足****廖网吧,105.763808,29.5744,0,0,0,0,大足区
50022510000047,大足****益网吧,105.815861,29.549334,0,0,0,0,大足区
50022510000048,大足****星网吧,105.717888,29.707896,0,0,1,7,大足区
50022510000049,大足****络会所,105.718151,29.704128,0,0,0,0,大足区
50022510000051,大足****络会所,105.747626,29.660709,0,0,0,0,大足区
50022510000052,大足****鹰网吧,105.726836,29.703987,0,0,0,0,大足区
50022510000054,大足****林网吧,105.676212,29.769443,0,0,0,0,大足区
50011110000023,重庆****士网吧,105.747459,29.4333,0,0,0,0,大足区
50022510000018,大足****强网吧,105.774883,29.56958,0,0,0,0,大足区
50022510000019,大足****会所）,105.772164,29.5669,0,0,0,0,大足区
50022510000021,大足****才网吧,105.632391,29.643705,0,0,0,0,大足区
50022510000024,大足****务中心,105.717164,29.703631,0,0,0,0,大足区
50022510000025,大足****络会所,105.721006,29.704465,0,0,0,0,大足区
50022510000027,大足****村网吧,105.67746,29.542947,0,0,0,0,大足区
50022510000028,大足****强网城,105.771859,29.567287,0,0,0,0,大足区
50022510000029,大足****界网吧,105.940539,29.684962,0,0,0,0,大足区
50022510000030,大足****兵网吧,105.771859,29.567287,0,0,0,0,大足区
50022510000053,大足****美网吧,105.719581,29.706057,0,0,1,1,大足区
50022510000026,大足****月网吧,105.943326,29.684217,0,0,0,0,大足区
