SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50023610000002,奉节****线网吧,109.387707,31.03213,1,38,0,0,奉节县
50023610000003,奉节****哥网城,109.472129,31.025764,1,54,0,0,奉节县
50023610000004,奉节****语网吧,109.31576,30.918495,0,0,0,0,奉节县
50023610000005,奉节****光网吧,109.456334,30.662406,0,0,0,0,奉节县
50023610000006,奉节****来网吧,109.4728,31.027992,1,40,0,0,奉节县
50023610000007,奉节****丫网吧,109.466574,31.025882,1,3,0,0,奉节县
50023610000008,奉节****)网吧,109.511572,31.042147,0,0,0,0,奉节县
50023610000010,奉节****洲网吧,109.359889,31.166767,0,0,0,0,奉节县
50023610000011,奉节****俱乐部,109.473815,31.028225,1,2,0,0,奉节县
50023610000013,奉节****）网吧,109.476341,31.026758,1,1,0,0,奉节县
50023610000014,奉节****乐网吧,109.473815,31.028225,1,3,0,0,奉节县
50023610000015,奉节****浪网吧,109.469671,31.022305,1,1,0,0,奉节县
50023610000016,奉节****林网吧,109.469671,31.022305,0,0,0,0,奉节县
50023610000017,奉节****乐网吧,109.445196,31.112613,0,0,0,0,奉节县
50023610000018,奉节****儿网吧,109.479885,31.026976,1,34,1,5,奉节县
50023610000019,奉节****林网吧,109.473523,31.02883,1,34,0,0,奉节县
50023610000020,奉节****王网吧,109.635202,31.094116,0,0,0,0,奉节县
50023610000021,奉节****洋网吧,109.472569,31.0277,1,8,0,0,奉节县
50023610000024,奉节****腾网吧,109.556092,31.049987,1,1,0,0,奉节县
50023610000025,奉节****）网吧,109.466561,31.02796,0,0,0,0,奉节县
50023610000027,奉节****斯网吧,109.560897,31.049221,0,0,0,0,奉节县
50023610000028,奉节****空网吧,109.473523,31.02883,1,3,0,0,奉节县
50023610000029,奉节****潮网吧,109.480859,30.908215,0,0,0,0,奉节县
50023610000030,奉节****蓉网吧,109.477471,31.029902,0,0,0,0,奉节县
50023610000031,奉节****615,109.482156,31.026544,0,0,0,0,奉节县
50023610000033,奉节****辉网吧,109.466091,31.025431,1,46,0,0,奉节县
50023610000034,奉节****梦网吧,109.387707,31.03213,0,0,1,1,奉节县
50023610000035,奉节****骋网吧,109.469671,31.022305,1,3,0,0,奉节县
50023610000036,奉节****鹄网吧,109.466322,31.027116,1,4,1,1,奉节县
50023610000038,奉节****）网吧,109.209372,31.130958,1,3,0,0,奉节县
50023610000039,奉节****宏网吧,109.555663,31.05022,0,0,0,0,奉节县
50023610000041,奉节****点网吧,109.471779,31.022907,1,15,0,0,奉节县
50023610000042,奉节****浪网吧,109.209532,31.130987,0,0,0,0,奉节县
50023610000043,奉节****友网吧,109.399557,31.030913,0,0,0,0,奉节县
50023610000044,奉节****鹏网吧,109.470416,31.022757,0,0,0,0,奉节县
50023610000045,奉节****)网吧,109.264507,31.306139,0,0,0,0,奉节县
50023610000046,奉节****进网吧,109.464686,31.030481,0,0,0,0,奉节县
50023610000047,奉节****球网城,109.471118,31.02599,1,67,1,1,奉节县
50023610000048,奉节****帝网吧,109.599788,31.064019,1,14,0,0,奉节县
50023610000049,奉节****）网吧,109.473523,31.02883,1,1,1,2,奉节县
50023610000052,奉节****哥网吧,109.445196,31.112613,0,0,0,0,奉节县
50023610000053,奉节****来网吧,109.122367,31.241217,0,0,0,0,奉节县
50023610000054,奉节****)网城,109.466322,31.027116,1,1,0,0,奉节县
50023610000055,奉节****网网吧,109.381495,31.030192,0,0,0,0,奉节县
50023610000056,奉节****坛网吧,109.188426,30.895645,1,5,0,0,奉节县
50023610000059,奉节****龙网吧,109.209532,31.130987,0,0,1,8,奉节县
50023610000061,奉节****和网吧,109.47869,31.025104,1,2,0,0,奉节县
50023610000062,奉节****民网吧,109.355667,30.958553,0,0,0,0,奉节县
50023610000063,奉节****会所）,109.355667,30.958553,0,0,0,0,奉节县
50023610000064,奉节****玉网吧,109.168938,30.718041,0,0,0,0,奉节县
50023610000066,奉节****正网吧,109.168938,30.718041,0,0,1,1,奉节县
50023610000068,奉节****空网吧,109.475404,31.026418,0,0,0,0,奉节县
50023610000088,奉节****人网吧,109.469671,31.022305,1,1,0,0,奉节县
50023610000001,奉节****家网吧,109.469671,31.022305,1,1,0,0,奉节县
50023610000009,奉节****心网吧,109.466574,31.025882,1,19,1,2,奉节县
50023610000057,奉节****风网吧,109.527789,31.137917,0,0,0,0,奉节县
50023610000067,奉节****）网吧,109.387707,31.03213,0,0,0,0,奉节县
50023610000058,奉节****越网吧,109.229957,31.121135,0,0,0,0,奉节县
