SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50023710000037,巫山****龙网吧,110.115554,30.93085,0,0,0,0,巫山县
50023710000038,巫山****友网吧,109.886831,31.081118,0,0,0,0,巫山县
50023710000039,巫山****代网吧,109.886831,31.081118,0,0,0,0,巫山县
50023710000040,巫山****浪网吧,109.826893,31.25797,0,0,0,0,巫山县
50023710000042,巫山****尚网吧,109.914639,31.344363,0,0,0,0,巫山县
50023710000043,巫山****新网吧,109.826893,31.25797,0,0,0,0,巫山县
50023710000044,巫山****奇网吧,109.858989,30.959264,0,0,0,0,巫山县
50023710000045,巫山****语网吧,109.654892,30.890946,0,0,0,0,巫山县
50023710000046,巫山****弟网吧,109.886879,31.086312,0,0,0,0,巫山县
50023710000047,巫山****阳网吧,109.857731,30.963915,0,0,0,0,巫山县
50023710000048,巫山****燕网吧,110.095975,31.20984,0,0,0,0,巫山县
50023710000049,巫山****缘网吧,109.661195,30.869045,0,0,0,0,巫山县
50023710000051,巫山****浪网吧,109.88495,31.077945,0,0,0,0,巫山县
50023710000052,巫山****清网吧,109.856352,30.957071,0,0,0,0,巫山县
50023710000053,巫山****蚁网吧,109.879409,31.075026,0,0,0,0,巫山县
50023710000054,巫山****涛网吧,109.829364,31.260822,0,0,0,0,巫山县
50023710000055,巫山****煌网吧,109.887849,31.086733,0,0,0,0,巫山县
50023710000056,巫山****来网吧,109.889613,31.087838,0,0,0,0,巫山县
50023710000013,巫山****喜网吧,109.886831,31.081118,0,0,0,0,巫山县
50023710000014,巫山****空网吧,109.733112,31.227247,0,0,0,0,巫山县
50023710000015,巫山****缘网吧,109.886769,31.081464,0,0,0,0,巫山县
50023710000016,巫山****州网吧,109.886831,31.081118,0,0,0,0,巫山县
50023710000018,巫山****兴网吧,109.893152,31.082029,0,0,0,0,巫山县
50023710000019,巫山****源网吧,109.719068,31.224691,0,0,0,0,巫山县
50023710000020,巫山****约网吧,109.904164,31.098926,0,0,0,0,巫山县
50023710000021,巫山****人网吧,109.737123,30.857543,0,0,0,0,巫山县
50023710000022,巫山****扬网吧,109.892197,31.091557,0,0,0,0,巫山县
50023710000023,巫山****亿网吧,109.883028,31.083597,0,0,0,0,巫山县
50023710000025,巫山****奇网吧,109.887876,31.080794,0,0,0,0,巫山县
50023710000026,巫山****天网吧,109.886914,31.08438,0,0,0,0,巫山县
50023710000027,巫山****龙网吧,110.094231,31.207349,0,0,0,0,巫山县
50023710000028,巫山****通网吧,109.888723,31.082258,0,0,0,0,巫山县
50023710000029,巫山****龙网吧,109.661195,30.869045,0,0,0,0,巫山县
50023710000030,巫山****岛网吧,109.886013,31.080406,0,0,0,0,巫山县
50023710000031,巫山****越网吧,109.888282,31.080714,0,0,0,0,巫山县
50023710000032,巫山****英网吧,109.889938,31.082677,0,0,0,0,巫山县
50023710000033,巫山****网吧）,109.887178,31.080313,0,0,0,0,巫山县
50023710000034,巫山****品网吧,109.885693,31.078771,0,0,0,0,巫山县
50023710000035,巫山****龙网吧,110.106003,31.135383,0,0,0,0,巫山县
50023710000036,巫山****缘网吧,109.741965,30.937179,0,0,0,0,巫山县
50023710000001,巫山****越网吧,109.733112,31.227247,0,0,0,0,巫山县
50023710000002,巫山****河网吧,110.047258,30.938914,0,0,0,0,巫山县
50023710000003,巫山****月网吧,109.661195,30.869045,0,0,0,0,巫山县
50023710000004,巫山****谷网吧,109.886831,31.081118,0,0,0,0,巫山县
50023710000005,巫山****通网吧,109.886831,31.081118,0,0,0,0,巫山县
50023710000006,巫山****新网吧,109.885693,31.078771,0,0,0,0,巫山县
50023710000007,巫山****迹网吧,109.887178,31.080313,0,0,0,0,巫山县
50023710000008,巫山****晶网吧,109.904229,31.098991,0,0,0,0,巫山县
50023710000010,巫山****典网吧,109.872797,31.081013,0,0,0,0,巫山县
50023710000011,巫山****市网吧,109.661195,30.869045,0,0,0,0,巫山县
50023710000012,巫山****点网吧,109.886831,31.081118,0,0,0,0,巫山县
50022810000034,梁平****网情深,109.885693,31.078771,0,0,0,0,巫山县
50023710000024,巫山****戏网吧,109.886689,31.088358,0,0,0,0,巫山县
