SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50023810000031,同乐****乐网吧,109.498603,31.323029,0,0,0,0,巫溪县
50023710000041,巫山****话网吧,109.653351,31.310392,0,0,0,0,巫溪县
50023810000003,巫溪****博网吧,109.636102,31.403282,0,0,0,0,巫溪县
50023810000004,巫溪****风网吧,109.625602,31.398388,0,0,1,1,巫溪县
50023810000006,巫溪****会所）,109.620707,31.399723,0,0,0,0,巫溪县
50023810000007,巫溪****风网城,109.614473,31.400211,0,0,0,0,巫溪县
50023810000008,巫溪****代网吧,109.624016,31.397786,0,0,0,0,巫溪县
50023810000009,巫溪****络会所,109.620707,31.399723,0,0,0,0,巫溪县
50023810000011,巫溪****往网吧,109.635304,31.402017,0,0,0,0,巫溪县
50023810000012,巫溪****百度）,109.620707,31.399723,0,0,1,3,巫溪县
50023810000013,巫溪****络会所,109.624818,31.397353,0,0,0,0,巫溪县
50023810000014,巫溪****谐网吧,109.454833,31.334239,0,0,0,0,巫溪县
50023810000015,巫溪****网络）,108.906307,31.438331,0,0,0,0,巫溪县
50023810000017,巫溪****网城）,109.624016,31.397786,0,0,0,0,巫溪县
50023810000018,巫溪****空网吧,109.527686,31.404599,0,0,0,0,巫溪县
50023810000019,巫溪****络会所,109.625602,31.398388,0,0,0,0,巫溪县
50023810000020,巫溪****越网吧,109.494373,31.322965,0,0,0,0,巫溪县
50023810000030,凤凰****络会所,109.527686,31.404599,0,0,0,0,巫溪县
50023810000036,巫溪****远网吧,109.627286,31.396864,0,0,0,0,巫溪县
50024310000034,彭水****奇网吧,109.625602,31.398388,0,0,0,0,巫溪县
50023810000002,巫溪****天网吧,109.68274,31.646868,0,0,0,0,巫溪县
50023810000010,巫溪****娱乐）,109.637643,31.402767,0,0,0,0,巫溪县
