SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010410000019,大渡****捷网吧,106.508917,29.436948,0,0,1,1,巴南区
50011310000138,巴南****客网吧,106.535387,29.465022,0,0,0,0,巴南区
50011310000139,巴南****林网吧,106.556211,29.44473,0,0,0,0,巴南区
50011310000152,巴南****件狗）,106.568173,29.475686,0,0,0,0,巴南区
50011310000153,巴南****牛网吧,106.56994,29.48113,0,0,0,0,巴南区
50011310000154,巴南****件狗）,106.530702,29.387195,0,0,0,0,巴南区
50011310000155,巴南****件狗）,106.526365,29.389181,0,0,0,0,巴南区
50011310000087,巴南****线网吧,106.549782,29.469788,0,0,0,0,巴南区
50011310000088,巴南****伟网吧,106.526862,29.384529,0,0,0,0,巴南区
50011310000089,巴南****晰网吧,106.547642,29.406657,0,0,0,0,巴南区
50011310000090,巴南****晰网吧,106.55002,29.463134,0,0,0,0,巴南区
50011310000091,巴南****色网吧,106.54183,29.471707,0,0,0,0,巴南区
50011310000092,巴南****语网吧,106.549672,29.460316,0,0,0,0,巴南区
50011310000093,巴南****心网吧,106.545491,29.471869,0,0,0,0,巴南区
50011310000094,巴南****娅网吧,106.53945,29.472298,0,0,0,0,巴南区
50011310000095,巴南****亚网吧,106.531318,29.386774,0,0,0,0,巴南区
50011310000096,巴南****飞网吧,106.55014,29.458312,0,0,0,0,巴南区
50011310000097,巴南****颖网吧,106.512562,29.392923,0,0,0,0,巴南区
50011310000098,巴南****语网吧,106.526468,29.385805,0,0,0,0,巴南区
50011310000099,巴南****狼网吧,106.616622,29.389329,0,0,0,0,巴南区
50011310000100,巴南****石网吧,106.541998,29.47241,0,0,1,4,巴南区
50011310000101,巴南****远网吧,106.602114,29.432933,0,0,0,0,巴南区
50011310000104,巴南****香网吧,106.869014,29.45932,0,0,0,0,巴南区
50011310000106,巴南****尚网吧,106.512623,29.394744,0,0,0,0,巴南区
50011310000107,巴南****润网吧,106.613489,29.39313,0,0,0,0,巴南区
50011310000108,巴南****妹网吧,106.56994,29.48113,0,0,0,0,巴南区
50011310000109,巴南****韵网吧,106.535096,29.466086,0,0,1,3,巴南区
50011310000110,巴南****佑网吧,106.525854,29.387491,0,0,0,0,巴南区
50011310000112,巴南****间网吧,106.549308,29.471544,0,0,1,1,巴南区
50011310000113,巴南****园网吧,106.549376,29.407811,0,0,0,0,巴南区
50011310000114,巴南****和网吧,106.526365,29.389181,0,0,0,0,巴南区
50011310000115,巴南****速网吧,106.621265,29.450226,0,0,1,4,巴南区
50011310000117,巴南****顺网吧,106.55014,29.458312,0,0,0,0,巴南区
50011310000118,巴南****光网吧,106.540664,29.46302,0,0,1,25,巴南区
50011310000119,巴南****英网吧,106.534112,29.46523,0,0,0,0,巴南区
50011310000121,巴南****力网吧,106.574668,29.429525,0,0,0,0,巴南区
50011310000122,巴南****络会馆,106.512902,29.393805,0,0,0,0,巴南区
50011310000123,巴南****悠网吧,106.601873,29.429827,0,0,0,0,巴南区
50011310000124,巴南****方网吧,106.52381,29.460424,0,0,0,0,巴南区
50011310000125,巴南****缘网吧,106.887579,29.19182,0,0,0,0,巴南区
50011310000126,巴南****大网吧,106.518406,29.391875,0,0,0,0,巴南区
50011310000127,巴南****光网吧,106.567202,29.476727,0,0,0,0,巴南区
50011310000128,巴南****情网吧,106.589449,29.257149,0,0,0,0,巴南区
50011310000131,巴南****网吧）,106.544029,29.472702,0,0,0,0,巴南区
50011310000136,巴南****胡网吧,106.528776,29.380609,0,0,1,2,巴南区
50011310000050,巴南****创网吧,106.55002,29.463134,0,0,0,0,巴南区
50011310000051,巴南****谊网吧,106.798651,29.252099,0,0,0,0,巴南区
50011310000052,巴南****浪网吧,106.525813,29.385636,0,0,1,2,巴南区
50011310000053,巴南****密狗）,106.531366,29.386833,0,0,0,0,巴南区
50011310000055,巴南****牛网吧,106.543374,29.411514,0,0,0,0,巴南区
50011310000057,巴南****缘网吧,106.54136,29.418624,0,0,1,1,巴南区
50011310000058,巴南****天网吧,106.556562,29.444495,0,0,0,0,巴南区
50011310000059,巴南****联网吧,106.540295,29.382466,0,0,0,0,巴南区
50011310000060,巴南****湖网吧,106.55002,29.463134,0,0,0,0,巴南区
50011310000061,巴南****邦网吧,106.55002,29.463134,0,0,0,0,巴南区
50011310000062,巴南****聪网吧,106.530715,29.387193,0,0,0,0,巴南区
50011310000063,巴南****盟网吧,106.525678,29.46037,0,0,0,0,巴南区
50011310000064,巴南****天网吧,106.525678,29.46037,0,0,0,0,巴南区
50011310000065,巴南****缘网吧,106.549499,29.471431,0,0,0,0,巴南区
50011310000067,巴南****缘网吧,106.525854,29.387491,0,0,0,0,巴南区
50011310000068,巴南****悦网吧,106.556211,29.44473,0,0,0,0,巴南区
50011310000069,巴南****费点）,106.531318,29.38802,0,0,0,0,巴南区
50011310000070,巴南****缘网吧,106.540587,29.416927,0,0,0,0,巴南区
50011310000071,巴南****浪网吧,106.758274,29.378028,0,0,0,0,巴南区
50011310000073,巴南****边网吧,106.545491,29.471869,0,0,1,9,巴南区
50011310000074,巴南****岛网吧,106.545065,29.472528,0,0,1,1,巴南区
50011310000075,巴南****益网吧,106.533705,29.384159,0,0,0,0,巴南区
50011310000076,巴南****雅网吧,106.510622,29.389534,0,0,0,0,巴南区
50011310000079,巴南****鸿网吧,106.525854,29.387491,0,0,0,0,巴南区
50011310000080,巴南****源网吧,106.55583,29.444885,0,0,0,0,巴南区
50011310000081,巴南****蝶网吧,106.537388,29.463946,0,0,0,0,巴南区
50011310000082,巴南****江网吧,106.602114,29.432933,0,0,0,0,巴南区
50011310000083,巴南****松网吧,106.56994,29.48113,0,0,1,3,巴南区
50011310000084,巴南****银网吧,106.556211,29.44473,0,0,1,1,巴南区
50011310000085,巴南****良网吧,106.549778,29.469603,0,0,0,0,巴南区
50011310000086,巴南****天网吧,106.556211,29.44473,0,0,0,0,巴南区
50024110000023,秀山****网吧),106.529866,29.387561,0,0,0,0,巴南区
50011310000001,巴南****马网吧,106.541595,29.382423,0,0,0,0,巴南区
50011310000002,巴南****浪网吧,106.55002,29.463134,0,0,0,0,巴南区
50011310000003,巴南****下网吧,106.556458,29.444795,0,0,0,0,巴南区
50011310000004,巴南****梁网吧,106.539774,29.43328,0,0,0,0,巴南区
50011310000005,巴南****泉网吧,106.829044,29.394877,0,0,0,0,巴南区
50011310000006,巴南****狼网吧,106.545491,29.471869,0,0,1,2,巴南区
50011310000007,巴南****语网吧,106.535474,29.466783,0,0,0,0,巴南区
50011310000008,巴南****源网吧,106.758274,29.378028,0,0,0,0,巴南区
50011310000009,巴南****依网吧,106.556458,29.444795,0,0,0,0,巴南区
50011310000011,巴南****天网吧,106.712845,29.464411,0,0,0,0,巴南区
50011310000012,巴南****璇网吧,106.568004,29.408379,0,0,0,0,巴南区
50011310000013,巴南****臣网吧,106.531318,29.38802,0,0,0,0,巴南区
50011310000014,巴南****车网吧,106.54894,29.472093,0,0,0,0,巴南区
50011310000015,巴南****琳网吧,106.55632,29.444841,0,0,1,2,巴南区
50011310000016,巴南****馨网吧,106.519118,29.392684,0,0,0,0,巴南区
50011310000017,巴南****速网吧,106.531178,29.386607,0,0,0,0,巴南区
50011310000018,巴南****木网吧,106.550326,29.472317,0,0,0,0,巴南区
50011310000019,巴南****际网吧,106.549804,29.460661,0,0,0,0,巴南区
50011310000020,巴南****树网吧,106.568215,29.474735,0,0,0,0,巴南区
50011310000023,巴南****苑网吧,106.549778,29.469603,0,0,0,0,巴南区
50011310000024,巴南****柯网吧,106.554027,29.445559,0,0,0,0,巴南区
50011310000026,巴南****白网吧,106.535739,29.385268,0,0,0,0,巴南区
50011310000027,巴南****乐网吧,106.659304,29.349316,0,0,0,0,巴南区
50011310000028,巴南****君网吧,106.56994,29.48113,0,0,0,0,巴南区
50011310000029,巴南****府网吧,106.542327,29.472205,0,0,1,12,巴南区
