SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50023410000001,开县****谷网吧,108.32602,31.154487,0,0,0,0,开州区
50023410000002,开县****络世界,108.386547,31.165676,0,0,0,0,开州区
50023410000003,开县****代网吧,108.38926,31.277101,0,0,0,0,开州区
50023410000004,开县****络会所,108.42044,31.174606,0,0,0,0,开州区
50023410000005,开县****络会所,108.401471,31.168011,0,0,0,0,开州区
50023410000006,开县****间网城,108.428104,31.17803,0,0,1,4,开州区
50023410000007,开县****络会所,108.416661,31.172267,0,0,0,0,开州区
50023410000008,开县****平桥店,108.416661,31.172267,0,0,0,0,开州区
50023410000009,开县****源网城,108.377729,31.164086,0,0,0,0,开州区
50023410000010,开县****速网吧,108.437544,31.211068,0,0,0,0,开州区
50023410000011,开县****友网吧,108.227993,31.10593,0,0,0,0,开州区
50023410000012,开县****雯网吧,108.315492,31.001185,0,0,0,0,开州区
50023410000013,开县****勇网吧,108.317346,31.00449,0,0,0,0,开州区
50023410000014,开县****叶网吧,108.317346,31.00449,0,0,0,0,开州区
50023410000015,开县****晶网吧,108.253864,30.965869,0,0,0,0,开州区
50023410000016,开县****蚁网吧,108.416661,31.172267,0,0,0,0,开州区
50023410000017,开县****深网吧,108.479353,31.418198,0,0,0,0,开州区
50023410000018,开县****网吧),108.403407,31.176204,0,0,0,0,开州区
50023410000019,开县****红网吧,108.430571,31.09397,0,0,0,0,开州区
50023410000020,开县****络驿站,108.419111,31.17946,0,0,0,0,开州区
50023410000022,开县****下网吧,108.386637,31.169003,0,0,0,0,开州区
50023410000023,开县****络会所,108.405624,31.176685,0,0,0,0,开州区
50023410000024,开县****林网吧,108.420423,31.172581,0,0,0,0,开州区
50023410000025,开县****帝网城,108.406205,31.175735,0,0,0,0,开州区
50023410000026,开县****翔网吧,108.422738,31.175598,0,0,0,0,开州区
50023410000027,开县****河网城,108.416913,31.17338,0,0,0,0,开州区
50023410000028,开县****众网吧,108.410152,31.178762,0,0,0,0,开州区
50023410000029,开县****都网吧,108.434558,31.088633,0,0,0,0,开州区
50023410000030,开县****络驿站,108.399416,31.169925,0,0,0,0,开州区
50023410000031,开县****络会所,108.425992,31.192891,0,0,0,0,开州区
50023410000032,开县****络会所,108.398039,31.171898,0,0,0,0,开州区
50023410000033,开县****游网吧,108.317346,31.00449,0,0,0,0,开州区
50023410000034,开县****州网城,108.407348,31.173798,0,0,0,0,开州区
50023410000035,开县****缘网吧,108.227808,31.106165,0,0,0,0,开州区
50023410000036,开县****园网吧,108.232497,31.106867,0,0,0,0,开州区
50023410000037,开县****怡网吧,108.387183,31.166627,0,0,0,0,开州区
50023410000038,开县****智网吧,108.178635,30.91644,0,0,0,0,开州区
50023410000039,开县****友网吧,108.306312,31.34941,0,0,0,0,开州区
50023410000040,开县****络驿站,108.410844,31.177003,0,0,0,0,开州区
50023410000041,开县****圣网吧,108.466574,31.273981,0,0,0,0,开州区
50023410000042,开县****络会所,108.411757,31.17559,0,0,0,0,开州区
50023410000043,开县****空网城,108.406019,31.172868,0,0,0,0,开州区
50023410000044,开县****亮网吧,108.142642,31.045469,0,0,0,0,开州区
50023410000045,开县****鹰网吧,108.144109,31.180584,0,0,0,0,开州区
50023410000046,开县****章网城,108.420039,31.177898,0,0,1,1,开州区
50023410000047,开县****语网吧,108.527485,31.369928,0,0,0,0,开州区
50023410000048,开县****威网吧,108.408014,31.174784,0,0,0,0,开州区
50023410000049,开县****都网络,108.406019,31.172868,0,0,0,0,开州区
50023410000051,开县****络会所,108.399416,31.169925,0,0,0,0,开州区
50023410000052,开县****新网吧,108.131499,31.042715,0,0,0,0,开州区
50023410000053,开县****点网吧,108.178635,30.91644,0,0,0,0,开州区
50023410000054,开县****觉网吧,108.232497,31.106867,0,0,0,0,开州区
50023410000055, 开****代网吧,108.398039,31.171898,0,0,0,0,开州区
50023410000056,开县****代网吧,108.141305,31.182465,0,0,0,0,开州区
50023410000058,开县****络会所,108.423273,31.174454,0,0,0,0,开州区
50023410000059,开县****洋网吧,108.490966,31.299921,0,0,0,0,开州区
50023410000060,开县****络会所,108.38926,31.277101,0,0,0,0,开州区
50023410000061, 开****弟网吧,108.474019,31.269654,0,0,0,0,开州区
50023410000062,开县****络会所,108.098074,31.087697,0,0,0,0,开州区
50023410000063,开县****风网吧,108.531477,31.373445,0,0,0,0,开州区
50023410000064, 开****友网吧,108.534156,31.372755,0,0,0,0,开州区
50023410000065,开县****络会所,108.38926,31.277101,0,0,0,0,开州区
50023410000066,开县****络驿站,108.385527,31.164544,0,0,0,0,开州区
50023410000067,开县****知网吧,108.451767,31.513256,0,0,0,0,开州区
50023410000068,开县****旗舰店,108.416661,31.172267,0,0,0,0,开州区
50023410000069,开县****络会所,108.378197,31.16599,0,0,0,0,开州区
50023410000070,开县****鸟网吧,108.232497,31.106867,0,0,0,0,开州区
50023410000071,开县****星网吧,108.493151,31.298713,0,0,0,0,开州区
50023410000072,开县****橙网吧,108.317346,31.00449,0,0,0,0,开州区
50023410000050,开县****络会所,108.416661,31.172267,0,0,0,0,开州区
50023410000057,开县****络会所,108.40705,31.173414,0,0,0,0,开州区
