SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50024310000001,彭水****言网吧,108.065948,29.129212,0,0,0,0,彭水苗族土家族自治县
50024310000002,重庆****越网吧,108.165592,29.300033,0,0,0,0,彭水苗族土家族自治县
50024310000003,彭水****游网吧,108.167825,29.291531,0,0,0,0,彭水苗族土家族自治县
50024310000005,彭水****朝网吧,108.167825,29.291531,0,0,0,0,彭水苗族土家族自治县
50024310000006,彭水****光网吧,108.17075,29.297124,0,0,0,0,彭水苗族土家族自治县
50024310000007,彭水****松网城,108.170498,29.295356,0,0,0,0,彭水苗族土家族自治县
50024310000008,彭水****达网吧,108.074406,29.400501,0,0,0,0,彭水苗族土家族自治县
50024310000010,彭水****尼网吧,108.172269,29.302756,0,0,0,0,彭水苗族土家族自治县
50024310000011,彭水****幻网吧,108.165592,29.300033,0,0,0,0,彭水苗族土家族自治县
50024310000015,彭水****鑫网吧,108.173412,29.300913,0,0,0,0,彭水苗族土家族自治县
50024310000017,彭水****深网吧,108.272868,29.359628,0,0,0,0,彭水苗族土家族自治县
50024310000018,彭水****生网吧,108.171166,29.30267,0,0,0,0,彭水苗族土家族自治县
50024310000019,彭水****静网吧,108.167825,29.291531,0,0,0,0,彭水苗族土家族自治县
50024310000013,彭水****络会所,108.272868,29.359628,0,0,0,0,彭水苗族土家族自治县
50023010000072,丰都****鑫网吧,108.16188,29.590629,0,0,0,0,彭水苗族土家族自治县
50024310000020,彭水****界网吧,108.320924,29.437168,0,0,0,0,彭水苗族土家族自治县
50024310000021,彭水****恋网吧,108.174554,29.301899,0,0,0,0,彭水苗族土家族自治县
50024310000022,彭水****尊网吧,108.17075,29.297124,0,0,0,0,彭水苗族土家族自治县
50024310000027,彭水****意网吧,108.285958,29.197559,0,0,0,0,彭水苗族土家族自治县
50024310000033,彭水****落网吧,108.270658,29.182312,0,0,0,0,彭水苗族土家族自治县
50024310000042,彭水****门网吧,108.295674,29.137521,0,0,0,0,彭水苗族土家族自治县
50024310000048,彭水****缘网吧,108.437634,29.53615,0,0,0,0,彭水苗族土家族自治县
50024310000049,彭水****代网吧,108.437634,29.53615,0,0,0,0,彭水苗族土家族自治县
50024310000051,彭水****云网吧,108.175979,29.302408,0,0,0,0,彭水苗族土家族自治县
50024310000053,彭水****缘网吧,108.099962,29.289242,0,0,0,0,彭水苗族土家族自治县
50024310000054,彭水****园网吧,108.222969,29.535241,0,0,0,0,彭水苗族土家族自治县
50024310000012,彭水****宇网城,108.173633,29.301411,0,0,0,0,彭水苗族土家族自治县
50024310000052,彭水****空网吧,108.243274,29.361601,0,0,0,0,彭水苗族土家族自治县
