SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50023310000005,忠县****间网吧,108.051424,30.306022,0,0,0,0,忠县
50023310000006,忠县****络驿站,108.044656,30.297239,0,0,0,0,忠县
50023310000007,忠县****天网吧,107.732723,30.308146,0,0,0,0,忠县
50023310000008,忠县****客网吧,108.047822,30.299137,0,0,0,0,忠县
50023310000009,忠县****闲会所,108.038832,30.294404,0,0,0,0,忠县
50023310000010,忠县****深网吧,108.049842,30.301943,0,0,0,0,忠县
50023310000011,忠县****力网吧,108.05039,30.29938,0,0,0,0,忠县
50023310000012,忠县****浪网吧,108.038688,30.298155,0,0,0,0,忠县
50023310000013,忠县****河网吧,108.079132,30.501489,0,0,0,0,忠县
50023310000014,忠县****网络屋,107.747255,30.398017,0,0,0,0,忠县
50023310000015,忠县****潮网吧,107.876648,30.388577,0,0,0,0,忠县
50023310000016,忠县****炬网吧,108.044656,30.297239,0,0,0,0,忠县
50023310000017,忠县****光网吧,108.044896,30.297985,0,0,0,0,忠县
50023310000018,忠县****缘网吧,108.049765,30.299135,0,0,0,0,忠县
50023310000019,忠县****鹏网吧,108.040419,30.294937,0,0,0,0,忠县
50023310000020,忠县****神网吧,108.054013,30.307256,0,0,0,0,忠县
50023310000021,忠县****8网吧,107.704605,30.360327,0,0,0,0,忠县
50023310000023,忠县****代网吧,108.049685,30.299035,0,0,0,0,忠县
50023310000024,忠县****伟网吧,107.876648,30.388577,0,0,0,0,忠县
50023310000025,忠县****三网吧,108.079132,30.501489,0,0,0,0,忠县
50023310000026,忠县****客网吧,108.049426,30.298837,0,0,0,0,忠县
50023310000027,忠县****往网吧,108.029075,30.306692,0,0,0,0,忠县
50023310000028,忠县****份网吧,107.653241,30.285301,0,0,0,0,忠县
50023310000029,忠县****飞网吧,108.029931,30.305797,0,0,0,0,忠县
50023310000030,忠县****恒网吧,107.729542,30.306314,0,0,0,0,忠县
50023310000031,忠县****众网吧,108.082775,30.50184,0,0,0,0,忠县
50023310000032,忠县****网络屋,108.047953,30.298927,0,0,0,0,忠县
50023310000033,忠县****闲会所,108.040409,30.294688,0,0,0,0,忠县
50023310000035,忠县****宇网吧,108.037251,30.199954,0,0,0,0,忠县
50023310000036,忠县****月网吧,108.044054,30.296468,0,0,0,0,忠县
50023310000037,忠县****勇网吧,108.205252,30.42703,0,0,0,0,忠县
50023310000038,忠县****来网吧,108.040529,30.295315,0,0,0,0,忠县
50023310000040,忠县****欣网吧,108.078207,30.500876,0,0,0,0,忠县
50023310000041,忠县****鹰网吧,107.658222,30.283593,0,0,0,0,忠县
50023310000042,忠县****人网吧,108.040466,30.298391,0,0,0,0,忠县
50023310000043,忠县****话网吧,108.044956,30.297994,0,0,0,0,忠县
50023310000044,忠县****网络屋,108.039128,30.294574,0,0,0,0,忠县
50023310000046,忠县****逢网吧,108.03015,30.306195,0,0,0,0,忠县
50023310000047,忠县****屿网吧,108.054339,30.304374,0,0,0,0,忠县
50023310000048,忠县****星网吧,108.205252,30.42703,0,0,0,0,忠县
50023310000051,忠县****尚网吧,108.04312,30.295763,0,0,0,0,忠县
50023310000052,忠县****井网吧,108.08125,30.502227,0,0,0,0,忠县
50023310000053,忠县****飞网吧,108.040466,30.298391,0,0,0,0,忠县
50023310000055,忠县****云网吧,107.748376,30.393944,0,0,0,0,忠县
50023310000056,忠县****克网吧,108.044014,30.296449,0,0,0,0,忠县
50023310000057,忠县****友网吧,107.958604,30.217433,0,0,0,0,忠县
50023310000058,忠县****驰网吧,108.04517,30.297086,1,2,0,0,忠县
50023310000059,忠县****翰网吧,107.731827,30.308138,0,0,0,0,忠县
50023310000060,忠县****云网吧,107.939341,30.133171,0,0,0,0,忠县
50023310000061,忠县****日网吧,107.59924,30.244685,0,0,0,0,忠县
50023310000062,忠县****发网吧,107.958604,30.217433,0,0,0,0,忠县
50023310000063,忠县****空网吧,108.009075,30.383695,0,0,0,0,忠县
50023310000064,忠县****林网吧,108.037251,30.199954,0,0,0,0,忠县
50023310000065,忠县****博网吧,108.044719,30.304446,0,0,0,0,忠县
50023310000068,忠县****缘网吧,108.203373,30.426953,0,0,0,0,忠县
50023310000069,忠县****泡网吧,108.079894,30.500895,0,0,0,0,忠县
50023310000070,忠县****毛网吧,108.020696,30.210472,0,0,0,0,忠县
50023310000071,忠县****怡网吧,107.736612,30.31317,0,0,0,0,忠县
50023310000072,忠县****和网吧,108.003844,30.205167,0,0,0,0,忠县
50023310000073,忠县****龙网吧,108.018199,30.208189,0,0,0,0,忠县
50024010000009,石柱****常网吧,108.206335,30.429489,0,0,1,1,忠县
50023210000008,武隆****平网吧,108.079894,30.500895,0,0,0,0,忠县
50023310000022,忠县****语网吧,108.049742,30.301905,0,0,1,1,忠县
50023310000034,忠县****帆网吧,108.047726,30.298614,0,0,0,0,忠县
50023310000002,忠县****鹏网吧,107.879104,30.380762,0,0,0,0,忠县
50023310000003,忠县****天网吧,108.048565,30.298963,0,0,0,0,忠县
50023310000004,忠县****宇网吧,108.048565,30.298963,0,0,0,0,忠县
