SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50022810000040,梁平****宏网吧,107.68932,30.662861,0,0,0,0,梁平区
50022810000041,梁平****宛网吧,107.778395,30.667801,0,0,0,0,梁平区
50022810000042,梁平****人网吧,107.808161,30.678172,0,0,0,0,梁平区
50022810000007,梁平****元网吧,107.805602,30.679043,0,0,0,0,梁平区
50022810000008,梁平****缘网吧,107.799157,30.674635,0,0,0,0,梁平区
50022810000009,梁平****雨网吧,107.803052,30.67523,0,0,0,0,梁平区
50022810000010,梁平****缘网吧,107.801866,30.682403,0,0,0,0,梁平区
50022810000011,梁平****松网吧,107.798712,30.67498,0,0,0,0,梁平区
50022810000012,梁平****纪网吧,107.80822,30.677964,0,0,0,0,梁平区
50022810000013,梁平****想网吧,107.794714,30.668007,0,0,0,0,梁平区
50022810000014,梁平****闲网吧,107.80822,30.677964,0,0,0,0,梁平区
50022810000015,梁平****峰网吧,107.803052,30.67523,0,0,0,0,梁平区
50022810000016,梁平****玲网吧,107.803052,30.67523,0,0,0,0,梁平区
50022810000017,梁平****红网吧,107.609084,30.640432,0,0,0,0,梁平区
50022810000018,梁平****络会所,107.803052,30.67523,0,0,0,0,梁平区
50022810000019,梁平****年网吧,107.803052,30.67523,0,0,0,0,梁平区
50022810000020,梁平****闲会所,107.789717,30.667181,0,0,1,1,梁平区
50022810000021,梁平****心网吧,107.738234,30.848027,0,0,0,0,梁平区
50022810000022,梁平****宙网吧,107.808264,30.679096,0,0,0,0,梁平区
50022810000023,梁平****者网吧,107.551064,30.816324,0,0,0,0,梁平区
50022810000024,梁平****络会所,107.802496,30.675835,0,0,0,0,梁平区
50022810000025,梁平****顺网吧,107.524883,30.744006,0,0,0,0,梁平区
50022810000026,梁平****星网吧,107.802602,30.672707,0,0,0,0,梁平区
50022810000027,梁平****鸟网吧,107.804564,30.677901,0,0,0,0,梁平区
50022810000028,梁平****达网吧,107.550441,30.595127,0,0,0,0,梁平区
50022810000029,梁平****骄网吧,107.558962,30.616792,0,0,1,1,梁平区
50022810000030,梁平****度网吧,107.979709,30.658987,0,0,0,0,梁平区
50022810000031,梁平****发网吧,107.552203,30.598042,0,0,0,0,梁平区
50022810000032,梁平****龙网吧,107.807881,30.677186,0,0,0,0,梁平区
50022810000033,梁平****浪网吧,107.809233,30.674796,0,0,0,0,梁平区
50022810000035,梁平****展网吧,107.802025,30.676389,0,0,0,0,梁平区
50022810000036,梁平****珑网吧,107.549404,30.592333,0,0,0,0,梁平区
50022810000037,梁平****游网吧,107.798904,30.674399,0,0,0,0,梁平区
50022810000038,梁平****雨网吧,107.807016,30.678648,0,0,1,4,梁平区
50022810000039,梁平****扬网吧,107.69832,30.802095,0,0,0,0,梁平区
50022810000001,梁平****扬网吧,107.804974,30.676921,0,0,0,0,梁平区
50022810000002,梁平****宇网吧,107.658267,30.533746,0,0,0,0,梁平区
50022810000003,梁平****点网吧,107.804295,30.678299,0,0,0,0,梁平区
50022810000004,梁平****鸟网吧,107.588972,30.54457,0,0,0,0,梁平区
50022810000005,梁平****蓝网吧,107.81924,30.721694,0,0,0,0,梁平区
50022810000006,梁平****达网吧,107.803052,30.67523,0,0,0,0,梁平区
