SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50011910000099,内部****部测试,107.768038,29.331324,0,0,0,0,武隆区
50023210000001,武隆****宇网吧,107.617293,29.399947,0,0,0,0,武隆区
50023210000002,武隆****人网吧,107.772427,29.334631,0,0,0,0,武隆区
50023210000005,武隆****宁网吧,107.765996,29.330727,0,0,0,0,武隆区
50023210000006,武隆****鑫网吧,107.764172,29.329889,0,0,0,0,武隆区
50023210000010,武隆****皇网城,107.768358,29.327756,0,0,0,0,武隆区
50023210000011,武隆****极网吧,107.756246,29.331688,0,0,0,0,武隆区
50023210000012,武隆****东网吧,107.768038,29.331324,0,0,0,0,武隆区
50023210000013,武隆****华网吧,107.766226,29.330957,0,0,0,0,武隆区
50023210000014,武隆****光网吧,107.769796,29.332912,0,0,0,0,武隆区
50023210000015,武隆****纪网吧,107.384871,29.45768,0,0,0,0,武隆区
50023210000017,武隆****创网吧,107.885967,29.244319,0,0,0,0,武隆区
50023210000016,武隆****游网吧,107.881586,29.397551,0,0,0,0,武隆区
50023210000020,武隆****龙网城,107.754898,29.32751,0,0,0,0,武隆区
50023210000021,武隆****代网吧,107.547307,29.392262,0,0,0,0,武隆区
50023210000022,武隆****乐网吧,107.888133,29.244818,0,0,0,0,武隆区
50023210000023,武隆****祥网吧,107.774358,29.434021,0,0,0,0,武隆区
50023210000024,武隆****心网吧,107.547307,29.392262,0,0,0,0,武隆区
50023210000025,武隆****闲网吧,107.486103,29.338384,0,0,0,0,武隆区
50023210000026,武隆****语网吧,107.761272,29.327311,0,0,0,0,武隆区
50023210000027,武隆****坤网吧,107.771315,29.340513,0,0,0,0,武隆区
50023210000028,武隆****亨网吧,107.765496,29.330311,0,0,0,0,武隆区
50023210000030,武隆****蓉网吧,107.835037,29.189103,0,0,0,0,武隆区
50023210000031,武隆****河网吧,107.617491,29.399643,0,0,0,0,武隆区
50023210000032,武隆****逸网吧,107.551109,29.399708,0,0,0,0,武隆区
50023210000019,武隆****阳网吧,107.547515,29.393153,0,0,0,0,武隆区
