SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50011810000145,亚联****凰网吧,105.937257,29.324127,0,0,1,3,永川区
50011810000108,重庆****横网吧,105.92183,29.362323,0,0,0,0,永川区
50011810000109,重庆****路网吧,105.929553,29.371002,0,0,0,0,永川区
50011810000141,永川****吧A区,105.893891,29.371944,0,0,0,0,永川区
50011810000142,重庆****潮网吧,105.9323,29.366612,0,0,0,0,永川区
50011810000110,重庆****祥网吧,105.85827,29.018803,0,0,0,0,永川区
50011810000112,（加****楼B区,105.906199,29.35446,0,0,0,0,永川区
50011810000113,永川****华网吧,105.893891,29.371944,0,0,0,0,永川区
50011810000115,重庆****力网吧,105.939072,29.352432,0,0,0,0,永川区
50011810000116,永川****川网城,105.909169,29.356383,0,0,0,0,永川区
50011810000117,永川****街网吧,105.906531,29.35242,0,0,0,0,永川区
50011810000120,重庆****居网吧,105.928815,29.358012,0,0,0,0,永川区
50011810000122,重庆****荣网吧,105.904165,29.34929,0,0,1,9,永川区
50011810000123,永川****下网吧,105.893891,29.371944,0,0,0,0,永川区
50011810000124,重庆****华网吧,105.897264,29.355251,0,0,1,1,永川区
50011810000125,重庆****麦网吧,105.880358,29.296488,0,0,1,1,永川区
50011810000127,永川****吧B区,105.893891,29.371944,0,0,0,0,永川区
50011810000128,重庆****龙网吧,105.893891,29.371944,0,0,0,0,永川区
50011810000129,重庆****捷网吧,105.883658,29.248062,0,0,0,0,永川区
50011810000131,（加****吧C区,105.893891,29.371944,0,0,0,0,永川区
50011810000132,永川****网吧),105.908695,29.347949,0,0,0,0,永川区
50011810000133,重庆****合网吧,105.899129,29.359343,0,0,0,0,永川区
50011810000135,永川****嘉网吧,105.969483,29.247298,0,0,0,0,永川区
50011810000136,永川****力网吧,105.940385,29.358292,0,0,0,0,永川区
50011810000137,重庆****市网吧,105.889426,29.396589,0,0,0,0,永川区
50011810000138,重庆****直营店,105.936816,29.359242,0,0,1,3,永川区
50011810000139,重庆****曼网吧,105.897104,29.360589,0,0,0,0,永川区
50011810000140,永川****网网吧,105.935451,29.364056,0,0,0,0,永川区
50011610000001,重庆****强网吧,105.898006,29.35998,0,0,0,0,永川区
50011610000020,重庆****舰店),105.939818,29.352859,0,0,0,0,永川区
50011810000079,重庆****网吧 ,105.931712,29.365664,0,0,0,0,永川区
50011810000080,重庆****网吧),105.923009,29.364171,0,0,0,0,永川区
50011810000081,永川****爱网吧,105.890111,29.395109,0,0,0,0,永川区
50011810000082,重庆****网吧）,105.849134,29.405547,0,0,0,0,永川区
50011810000083,重庆****来网吧,105.880038,29.490876,0,0,0,0,永川区
50011810000085,重庆****头网吧,105.962262,29.513967,0,0,0,0,永川区
50011810000086,重庆****杰网吧,105.879107,29.244244,0,0,0,0,永川区
50011810000087,重庆****河网吧,106.003467,29.316535,0,0,0,0,永川区
50011810000088,重庆****梦网吧,105.766838,29.158975,0,0,0,0,永川区
50011810000089,重庆****福网吧,105.911245,29.346458,0,0,0,0,永川区
50011810000090,重庆****友网吧,105.912384,29.356204,0,0,0,0,永川区
50011810000091,重庆****旺网吧,105.887521,29.360816,0,0,0,0,永川区
50011810000092,重庆****源网吧,105.894742,29.057855,0,0,0,0,永川区
50011810000093,重庆****光网吧,105.930847,29.287307,0,0,0,0,永川区
50011810000094,重庆****豆网吧,106.023149,29.385299,0,0,0,0,永川区
50011810000095,重庆****窗网吧,105.889426,29.396589,0,0,0,0,永川区
50011810000096,重庆****湖网吧,105.886816,29.250532,0,0,0,0,永川区
50011810000097,永川****颜网吧,105.899885,29.351481,0,0,0,0,永川区
50011810000098,永川****源网吧,105.73179,29.351393,0,0,0,0,永川区
50022410000034,铜梁****旺网吧,105.963731,29.515192,0,0,0,0,永川区
50011810000099,重庆****水网吧,105.897665,29.078649,0,0,0,0,永川区
50011810000101,重庆****龙网吧,105.964705,29.42035,0,0,0,0,永川区
50011810000102,重庆****箭网吧,105.900408,29.356046,0,0,1,2,永川区
50011810000103,重庆****恩网吧,105.934002,29.335251,0,0,0,0,永川区
50011810000104,永川****盛网吧,105.909413,29.347715,0,0,1,1,永川区
50011810000105,重庆****吧  ,105.899944,29.370116,0,0,0,0,永川区
50011810000106,重庆****生网吧,105.890117,29.394195,0,0,0,0,永川区
50011810000107,重庆****丫网吧,105.877024,29.140518,0,0,0,0,永川区
50010710001032,九龙****苑网吧,105.766838,29.158975,0,0,0,0,永川区
50011810000144,重庆****都网吧,105.896048,29.358089,0,0,1,4,永川区
50011810000067,重庆****财网吧,105.902092,29.352519,0,0,0,0,永川区
50011810000068,重庆****光网吧,105.85827,29.018803,0,0,0,0,永川区
50011810000069,永川****西网吧,105.923649,29.363877,0,0,0,0,永川区
50011810000070,重庆****渝网吧,105.908859,29.353706,0,0,0,0,永川区
50011810000071,（加****吧b区,105.893891,29.371944,0,0,0,0,永川区
50011810000072,永川****天网吧,105.940936,29.368495,0,0,0,0,永川区
50011810000073,重庆****门网吧,105.899814,29.353042,0,0,1,1,永川区
50011810000074,重庆****创网吧,105.897725,29.355738,0,0,0,0,永川区
50011810000075,重庆****羽网吧,105.902378,29.344004,0,0,0,0,永川区
50011810000076,永川****腾网吧,105.879997,29.138427,0,0,0,0,永川区
50011810000077,重庆****姐网吧,106.021539,29.386329,0,0,0,0,永川区
50011810000078,重庆****方网吧,105.93285,29.367974,0,0,0,0,永川区
50011810000002,重庆****港网吧,105.941451,29.355154,0,0,0,0,永川区
50011810000003,永川****网吧）,105.897704,29.356976,0,0,0,0,永川区
50011810000004,重庆****代网吧,105.897849,29.362621,0,0,0,0,永川区
50011810000005,重庆****月网吧,105.94162,29.369932,0,0,0,0,永川区
50011810000006,重庆****潮网吧,105.896486,29.360609,0,0,0,0,永川区
50011810000008,永川****迪网吧,105.893891,29.371944,0,0,0,0,永川区
50011810000009,重庆****冰网吧,105.897842,29.36258,0,0,0,0,永川区
50011810000010,重庆****城网吧,105.937821,29.356151,0,0,1,1,永川区
50011810000011,重庆****力网吧,105.880071,29.244441,0,0,0,0,永川区
50011810000012,重庆****啸网吧,105.940803,29.355906,0,0,0,0,永川区
50011810000013,重庆****会所),105.902881,29.353465,0,0,0,0,永川区
50011810000014,重庆****啸网吧,105.909413,29.347715,0,0,1,9,永川区
50011810000015,重庆****针网吧,105.930011,29.370499,0,0,0,0,永川区
50011810000016,重庆****月网吧,105.897133,29.355666,0,0,1,8,永川区
50011810000017,重庆****楼A区,105.906199,29.35446,0,0,0,0,永川区
50011810000018,重庆****尚网吧,105.897975,29.355706,0,0,1,11,永川区
50011610000106,重庆****果网吧,105.944288,29.352496,0,0,0,0,永川区
50011810000019,重庆****会所),105.933423,29.355194,0,0,0,0,永川区
50011810000020,重庆****晴网吧,105.906199,29.35446,0,0,0,0,永川区
50011810000021,重庆****梦网吧,105.904849,29.349206,0,0,1,2,永川区
50011810000023,永川****雅网吧,105.936313,29.357288,0,0,0,0,永川区
50011810000025,永川****车网吧,105.893891,29.371944,0,0,0,0,永川区
50011810000026,重庆****界网吧,105.941504,29.369893,0,0,0,0,永川区
50011810000027,重庆****樽网吧,105.907864,29.353745,0,0,0,0,永川区
50011810000028,重庆****风网吧,105.901175,29.356122,0,0,1,2,永川区
50011810000029,重庆****浩网吧,105.901175,29.356122,0,0,0,0,永川区
50011810000030,重庆****智网吧,105.937207,29.355759,0,0,0,0,永川区
50011810000031,重庆****力网吧,105.893891,29.371944,0,0,0,0,永川区
50011810000033,永川****天网吧,105.944203,29.361397,0,0,1,23,永川区
50011810000034,永川****端网吧,105.945535,29.361173,0,0,0,0,永川区
50011810000035,重庆****寻网吧,105.893891,29.371944,0,0,0,0,永川区
50011810000036,重庆****一网吧,105.789683,29.271188,0,0,0,0,永川区
50011810000037,重庆****网城),105.904275,29.349703,0,0,0,0,永川区
50011810000039,重庆****联网吧,105.897844,29.365075,0,0,0,0,永川区
50011810000040,重庆****翔网吧,105.886816,29.250532,0,0,0,0,永川区
