SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010510000039,江北****会所）,106.569253,29.586056,1,35,0,0,江北区
50010510000040,乌托****网吧）,106.488929,29.602083,1,13,0,0,江北区
50010510000041,江北****启网吧,106.534991,29.58135,0,0,0,0,江北区
50010510000045,江北****验吧),106.580741,29.61691,0,0,0,0,江北区
50010510000046,江北****闲网吧,106.538275,29.577077,0,0,1,1,江北区
50010510000052,江北****渝网吧,106.484774,29.589275,1,67,0,0,江北区
50010510000053,江北****奇网吧,106.713615,29.619318,0,0,0,0,江北区
50010510000054,江北****会所）,106.485834,29.58671,1,34,0,0,江北区
50010510000055,江北****络会所,106.654045,29.626645,0,0,0,0,江北区
50010510000056,江北****网吧）,106.535837,29.578951,1,205,0,0,江北区
50010510000058,江北****会所）,106.653753,29.626325,1,277,1,2,江北区
50010510000059,江北****风网吧,106.713615,29.619318,0,0,0,0,江北区
50010510000060,江北****天网吧,106.565767,29.590358,1,47,0,0,江北区
50010510000061,江北****会所),106.543003,29.572391,1,105,0,0,江北区
50010510000063,江北****会所）,106.532611,29.586079,1,252,0,0,江北区
50010510000064,江北****堡网吧,106.536506,29.568164,1,19,0,0,江北区
50010510000065,江北****顺网吧,106.767665,29.628813,1,127,1,2,江北区
50010510000067,江北****盒网吧,106.529686,29.581309,1,11,0,0,江北区
50010510000068,江北****会所）,106.548088,29.577105,0,0,0,0,江北区
50010510000069,江北****会所),106.538964,29.580443,0,0,1,2,江北区
50010510000070,江北****会所）,106.560054,29.582411,1,685,0,0,江北区
50010510000071,江北****网吧）,106.713615,29.619318,1,333,1,24,江北区
50010510000072,江北****嘴网吧,106.76896,29.629966,0,0,1,1,江北区
50010510000073,江北****华网吧,106.525883,29.567685,1,35,0,0,江北区
50010510000074,江北****网络）,106.536607,29.578744,0,0,0,0,江北区
50010510000075,江北****会所）,106.544609,29.580694,0,0,0,0,江北区
50010510000077,江北****竹网吧,106.757505,29.643021,0,0,0,0,江北区
50010510000078,江北****会所）,106.538339,29.578363,0,0,0,0,江北区
50010510000080,江北****点网吧,106.76896,29.629966,1,3,1,3,江北区
50010510000081,江北****山网吧,106.56346,29.591489,1,96,0,0,江北区
50010510000082,江北****场网吧,106.539337,29.57524,1,1,1,2,江北区
50010510000083,江北****辉网吧,106.713615,29.619318,1,458,1,8,江北区
50010510000085,江北****会所）,106.487278,29.574163,0,0,1,2,江北区
50010510000086,江北****圣网吧,106.563819,29.586063,0,0,0,0,江北区
50010510000087,江北****居网吧,106.543705,29.57776,1,145,1,2,江北区
50010510000090,江北****络会所,106.558792,29.582406,0,0,1,1,江北区
50010510000091,江北****人网吧,106.489806,29.576198,0,0,0,0,江北区
50010510000092,江北****网吧）,106.713615,29.619318,1,16,1,1,江北区
50010510000093,江北****湾网吧,106.53476,29.583821,1,9,0,0,江北区
50010510000094,江北****会所）,106.534034,29.564925,0,0,0,0,江北区
50010510000095,重庆****会所）,106.667642,29.613772,1,198,1,1,江北区
50010510000096,江北****兰网吧,106.543041,29.575286,0,0,0,0,江北区
50010510000097,江北****林网吧,106.494824,29.572803,0,0,0,0,江北区
50010510000099,江北****辉网吧,106.713615,29.619318,0,0,0,0,江北区
50010510000101,江北****谷网吧,106.580331,29.617963,1,88,0,0,江北区
50010510000102,江北****光网吧,106.66562,29.612243,0,0,0,0,江北区
50010510000103,江北****会所）,106.497892,29.572686,0,0,0,0,江北区
50010510000104,江北****禧网吧,106.533023,29.578834,1,6,0,0,江北区
50010510000105,江北****会所）,106.534763,29.562017,1,24,0,0,江北区
50010510000106,江北****线网吧,106.532288,29.577392,1,35,1,4,江北区
50010510000107,江北****涛网吧,106.575739,29.605594,1,3,0,0,江北区
50010510000108,江北****网吧）,106.693223,29.590519,1,23,0,0,江北区
50010510000109,江北****益网吧,106.693223,29.590519,0,0,0,0,江北区
50010510000110,江北****爱网吧,106.687046,29.581095,1,370,1,1,江北区
50010510000111,江北****网吧）,106.547907,29.578752,1,65,0,0,江北区
50010310000139,渝中****园网吧,106.564703,29.569134,0,0,0,0,江北区
50010310000144,渝中****魔网吧,106.531313,29.555419,0,0,0,0,江北区
50010310000145,渝中****网吧 ,106.558897,29.567211,0,0,0,0,江北区
50010310000180,渝中****土网吧,106.560397,29.569269,0,0,1,1,江北区
50010310000225,渝中****仲网吧,106.573651,29.563425,0,0,0,0,江北区
50010510000001,江北****凡网吧,106.537525,29.57594,0,0,1,1,江北区
50010510000002,江北****业网吧,106.562385,29.584263,1,21,0,0,江北区
50010310000195,渝中****间网吧,106.564583,29.569311,0,0,0,0,江北区
50010310000202,渝中****网吧）,106.558255,29.567705,0,0,0,0,江北区
