SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010710000097,九龙****网吧）,106.392426,29.299342,0,0,0,0,江津区
50010710000099,重庆****松网吧,106.392398,29.302119,0,0,0,0,江津区
50015310000033,北部****朵网吧,106.209382,29.284954,0,0,1,1,江津区
50015310000034,北部****视网吧,106.588446,29.058154,1,1,1,8,江津区
50011610000055,重庆****顿网吧,106.153606,29.210217,0,0,0,0,江津区
50011610000027,重庆****游网吧,106.259485,29.287899,0,0,1,1,江津区
50011610000028,重庆****会所）,106.281796,29.421431,0,0,0,0,江津区
50011610000029,重庆****醉网吧,106.266155,29.293423,0,0,1,67,江津区
50011610000031,重庆****觉网吧,106.27214,29.286588,0,0,1,2,江津区
50011610000032,重庆****会所）,106.26036,29.29308,0,0,0,0,江津区
50011610000033,重庆****力网吧,106.260892,29.272542,0,0,1,2,江津区
50011610000034,重庆****锋网吧,106.312286,29.407166,0,0,0,0,江津区
50011610000035,重庆****笑网吧,106.259289,29.293026,0,0,0,0,江津区
50011610000037,重庆****珑网吧,106.269282,29.035351,0,0,0,0,江津区
50011610000038,重庆****晓网吧,106.171495,29.024273,0,0,0,0,江津区
50011610000041,重庆****红网吧,106.039048,29.107137,0,0,0,0,江津区
50011610000043,重庆****虫网吧,105.942721,28.987292,0,0,0,0,江津区
50011610000044,重庆****发网吧,105.942721,28.987292,0,0,0,0,江津区
50011610000045,重庆****宾网吧,106.077772,29.260441,0,0,0,0,江津区
50011610000046,重庆****A城）,106.24588,29.274018,0,0,0,0,江津区
50011610000047,重庆****B城),106.269282,29.035351,0,0,0,0,江津区
50011610000048,重庆****林网吧,106.220897,29.260356,0,0,0,0,江津区
50011610000049,重庆****事网吧,106.345219,28.911753,0,0,0,0,江津区
50011610000050,重庆****城网吧,106.281796,29.421431,0,0,0,0,江津区
50011610000051,重庆****龙网吧,106.460281,29.121155,0,0,0,0,江津区
50011610000052,重庆****浪网吧,106.27362,29.081028,0,0,1,2,江津区
50011610000053,重庆****忠网吧,106.460281,29.121155,0,0,0,0,江津区
50011610000054,重庆****晴网吧,106.312286,29.407166,0,0,0,0,江津区
50011610000002,重庆****叶网吧,106.26425,29.288875,0,0,0,0,江津区
50011610000003,重庆****旺网吧,106.262893,29.294013,0,0,0,0,江津区
50011610000004,重庆****友网吧,106.264725,29.293245,0,0,1,3,江津区
50011610000005,重庆****福网吧,106.259289,29.293026,0,0,0,0,江津区
50011610000006,重庆****叶网吧,106.262945,29.289045,0,0,0,0,江津区
50011610000007,重庆****网事),106.257225,29.292907,0,0,0,0,江津区
50011610000008,重庆****津网吧,106.260892,29.272542,0,0,0,0,江津区
50011610000009,重庆****嘉网吧,106.270157,29.286407,0,0,0,0,江津区
50011610000010,重庆****城网吧,106.2801,29.418809,0,0,0,0,江津区
50011610000011,重庆****河网吧,106.272378,29.286453,0,0,0,0,江津区
50011610000012,重庆****旺网吧,106.327047,29.41202,0,0,0,0,江津区
50011610000013,重庆****奇网吧,106.039048,29.107137,0,0,0,0,江津区
50011610000014,重庆****会所),106.273172,29.284325,0,0,0,0,江津区
50011610000015,重庆****洪网吧,106.281796,29.421431,0,0,0,0,江津区
50011610000016,重庆****轩网吧,106.269282,29.035351,0,0,1,1,江津区
50011610000017,重庆****彤网吧,106.266155,29.293423,0,0,0,0,江津区
50011610000018,重庆****香网吧,106.48423,29.281514,0,0,0,0,江津区
50011610000019,重庆****浪网吧,106.277224,29.285306,0,0,0,0,江津区
50011610000021,重庆****幻网吧,106.260033,29.28748,0,0,0,0,江津区
50011610000022,重庆****间网吧,106.260892,29.272542,0,0,0,0,江津区
50011610000023,重庆****网吧),106.260892,29.272542,0,0,1,1,江津区
