SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010510000050,江北****族网吧,106.46918,29.569437,1,175,1,1,沙坪坝区
50010510000100,江北****者网吧,106.469713,29.57077,1,345,0,0,沙坪坝区
50010510000139,江北****静网吧,106.469631,29.570565,1,226,0,0,沙坪坝区
50010710000013,九龙****龙网吧,106.319493,29.545263,0,0,1,3,沙坪坝区
50010610002002,重庆****嘟网吧,106.454099,29.567892,0,0,0,0,沙坪坝区
50010610002003,重庆****鹊网吧,106.460157,29.571354,0,0,1,4,沙坪坝区
50010610002004,重庆****晖网吧,106.465878,29.569822,0,0,1,10,沙坪坝区
50010610002005,重庆****亚网吧,106.465948,29.569781,0,0,0,0,沙坪坝区
50010610002006,重庆****缘网吧,106.445461,29.558154,0,0,1,3,沙坪坝区
50010610002007,重庆****人网吧,106.475053,29.566524,0,0,0,0,沙坪坝区
50010610002009,重庆****斯网吧,106.309625,29.608938,0,0,1,1,沙坪坝区
50010610002010,重庆****程网吧,106.467756,29.568495,0,0,1,17,沙坪坝区
50010610002011,重庆****友网吧,106.467756,29.568495,0,0,1,1,沙坪坝区
50010610002012,重庆****年网吧,106.38273,29.605393,0,0,0,0,沙坪坝区
50010610002013,重庆****星网吧,106.471915,29.56812,0,0,0,0,沙坪坝区
50010610002014,重庆****素网吧,106.472065,29.567988,0,0,0,0,沙坪坝区
50010610002016,重庆****费点),106.475053,29.566524,0,0,0,0,沙坪坝区
50010610002017,重庆****多网吧,106.475803,29.56603,0,0,1,6,沙坪坝区
50010610002018,沙坪****聊天室,106.475241,29.565616,0,0,1,3,沙坪坝区
50010610002019,暴雪****宪均),106.475386,29.566078,0,0,0,0,沙坪坝区
50010610002020,重庆****头网吧,106.38686,29.591882,0,0,0,0,沙坪坝区
50010610002023,重庆****众网吧,106.379759,29.602139,0,0,0,0,沙坪坝区
50010610002024,重庆****辉网吧,106.478554,29.560176,0,0,0,0,沙坪坝区
50010610001001,重庆****网吧）,106.382651,29.591635,0,0,0,0,沙坪坝区
50010610001002,重庆****进网吧,106.384992,29.6026,0,0,0,0,沙坪坝区
50010610001003,沙坪****闲会所,106.452082,29.578987,0,0,0,0,沙坪坝区
50010610001005,重庆****光网吧,106.453061,29.530251,0,0,0,0,沙坪坝区
50010610001006,重庆****狐网吧,106.382812,29.589748,0,0,0,0,沙坪坝区
50010610001007,重庆****儿网吧,106.425927,29.576926,0,0,1,8,沙坪坝区
50010610001009,重庆****窗网吧,106.449647,29.577146,0,0,0,0,沙坪坝区
50010610001010,重庆****伊网城,106.449632,29.577232,0,0,0,0,沙坪坝区
50010610001011,(加****世伟),106.449647,29.577146,0,0,0,0,沙坪坝区
50010610001012,重庆****隆网吧,106.453484,29.57996,0,0,0,0,沙坪坝区
50010610001013,重庆****网吧),106.470735,29.557475,0,0,0,0,沙坪坝区
50010610001014,沙坪****青网吧,106.453053,29.579322,0,0,0,0,沙坪坝区
50010610001015,重庆****咕网吧,106.454307,29.577845,0,0,0,0,沙坪坝区
50010610001016,重庆****藤网吧,106.298642,29.60147,0,0,1,20,沙坪坝区
50010610001017,重庆****子网吧,106.456015,29.583801,0,0,0,0,沙坪坝区
50010610001018,重庆****网吧),106.453484,29.57996,0,0,1,1,沙坪坝区
50010610002001,重庆****羽网吧,106.453142,29.568774,0,0,0,0,沙坪坝区
50010610002026,沙坪****倶乐部,106.467013,29.568896,0,0,1,4,沙坪坝区
50010610002030,重庆****嘟网吧,106.454099,29.567892,0,0,0,0,沙坪坝区
50010610002031,联通****莱特),106.465901,29.564483,0,0,0,0,沙坪坝区
50010610002032,重庆****浪网吧,106.466795,29.563966,0,0,1,1,沙坪坝区
50010610002033,重庆****力网吧,106.464144,29.564817,0,0,0,0,沙坪坝区
50010610002034,重庆****浪网城,106.464281,29.564685,0,0,0,0,沙坪坝区
50010610002035,重庆****浪网城,106.464281,29.564685,0,0,1,2,沙坪坝区
50010610002036,重庆****费点),106.464281,29.564685,0,0,0,0,沙坪坝区
50010610002038,沙坪****E家),106.467729,29.561356,0,0,0,0,沙坪坝区
50010610002039,(加****俊成),106.46441,29.564641,0,0,0,0,沙坪坝区
50010610002040,重庆****座网吧,106.450329,29.609282,0,0,0,0,沙坪坝区
50010610002043,(加****江涛),106.46441,29.564641,0,0,0,0,沙坪坝区
50010610002047,自由****奇兵),106.465831,29.563204,0,0,0,0,沙坪坝区
50010610002048,重庆****带网吧,106.464539,29.564597,0,0,0,0,沙坪坝区
50010610002049,重庆****费点),106.464539,29.564597,0,0,1,4,沙坪坝区
50010610002051,重庆****春网吧,106.467359,29.568676,0,0,0,0,沙坪坝区
50010610002053,(加****吴强),106.464539,29.564597,0,0,0,0,沙坪坝区
50010610002054,重庆****原网吧,106.313906,29.600116,0,0,0,0,沙坪坝区
50010610002065,重庆****力网吧,106.469907,29.561804,0,0,1,2,沙坪坝区
50010610002066,联通****苑林凌,106.465603,29.561087,0,0,0,0,沙坪坝区
50010610002067,沙坪****会所）,106.465741,29.563825,0,0,1,19,沙坪坝区
50010610002068,(加****苑林凌,106.465845,29.563818,0,0,0,0,沙坪坝区
50010610002041,重庆****费点),106.464281,29.564685,0,0,1,2,沙坪坝区
50010610002069,重庆****费点),106.465741,29.563825,0,0,0,0,沙坪坝区
50010610002070,重庆****东网吧,106.470923,29.564321,0,0,0,0,沙坪坝区
