SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010210000079,重庆****缘网吧,107.409943,29.709241,1,161,0,0,涪陵区
50010210000080,重庆****缘网吧,107.426701,29.703651,0,0,0,0,涪陵区
50010210000082,重庆****恋网吧,107.153997,29.712296,0,0,0,0,涪陵区
50010210000084,重庆****豪网吧,107.263019,29.765168,0,0,0,0,涪陵区
50010210000085,重庆****番网吧,107.410648,29.701136,0,0,0,0,涪陵区
50010210000086,重庆****娱网吧,107.205075,29.665856,1,5,0,0,涪陵区
50010210000087,重庆****政网吧,107.409332,29.695421,1,27,0,0,涪陵区
50010210000088,重庆****大网吧,107.412764,29.697754,1,6,0,0,涪陵区
50010210000089,重庆****红网吧,107.402649,29.709835,0,0,0,0,涪陵区
50010210000090,重庆****卢网吧,107.390032,29.712197,1,21,0,0,涪陵区
50010210000091,重庆****冬网吧,107.399992,29.709963,1,36,1,15,涪陵区
50010210000094,重庆****起网吧,107.409838,29.703749,1,9,0,0,涪陵区
50010210000096,重庆****线网吧,107.264531,29.764161,0,0,1,7,涪陵区
50010210000097,重庆****笛网吧,107.399773,29.709812,0,0,0,0,涪陵区
50010210000098,重庆****狐网吧,107.390786,29.711609,0,0,0,0,涪陵区
50010210000099,重庆****光网吧,107.40268,29.706491,0,0,0,0,涪陵区
50010210000100,重庆****空网吧,107.392563,29.706561,0,0,0,0,涪陵区
50010210000001,重庆****网网吧,107.4061,29.706862,1,378,0,0,涪陵区
50010210000002,重庆****隙网吧,107.396307,29.70451,0,0,0,0,涪陵区
50010210000003,重庆****结网吧,107.405117,29.700503,0,0,0,0,涪陵区
50010210000004,重庆****迅网吧,107.389054,29.717946,1,22,0,0,涪陵区
50010210000005,重庆****红网吧,107.459689,29.545464,0,0,0,0,涪陵区
50010210000006,重庆****正网吧,107.338916,29.711392,0,0,0,0,涪陵区
50010210000007,重庆****力网吧,107.489362,29.554067,0,0,0,0,涪陵区
50010210000008,重庆****博网吧,107.460252,29.78723,0,0,0,0,涪陵区
50010210000009,重庆****月网吧,107.303425,29.71493,0,0,0,0,涪陵区
50010210000010,重庆****重网吧,107.40353,29.706124,0,0,0,0,涪陵区
50010210000011,重庆****源网吧,107.392187,29.714035,1,16,0,0,涪陵区
50010210000012,重庆****浪网吧,107.397297,29.709975,1,1,0,0,涪陵区
50010210000013,重庆****源网吧,107.46055,29.543208,0,0,0,0,涪陵区
50010210000015,重庆****定网吧,107.40607,29.706792,1,7,0,0,涪陵区
50010210000016,重庆****得网吧,107.40268,29.706491,0,0,1,2,涪陵区
50010210000017,重庆****业网吧,107.27388,29.756612,0,0,0,0,涪陵区
50010210000018,重庆****麟网吧,107.400548,29.703128,0,0,1,107,涪陵区
50010210000019,重庆****间网吧,107.406336,29.704727,0,0,0,0,涪陵区
50010210000020,重庆****智网吧,107.060827,29.659293,0,0,0,0,涪陵区
50010210000021,重庆****君网吧,107.305152,29.743515,0,0,0,0,涪陵区
50010210000022,重庆****山网吧,107.40621,29.706722,0,0,1,1,涪陵区
50010210000024,重庆****林网吧,107.410302,29.71004,0,0,0,0,涪陵区
50010210000025,重庆****网吧 ,107.399109,29.714637,0,0,0,0,涪陵区
50010210000026,重庆****叶网吧,107.384679,29.709543,1,15,0,0,涪陵区
50010210000027,重庆****丰网吧,107.40143,29.714107,0,0,0,0,涪陵区
50010210000028,重庆****铭网吧,107.482117,29.903903,0,0,0,0,涪陵区
50010210000029,重庆****浪网吧,107.38977,29.714,0,0,0,0,涪陵区
50010210000030,重庆****米网吧,107.406102,29.71555,0,0,0,0,涪陵区
50010210000032,重庆****缘网吧,107.369004,29.667294,0,0,0,0,涪陵区
50010210000033,重庆****春网吧,107.407124,29.702903,0,0,0,0,涪陵区
50010210000034,重庆****笋网吧,107.40825,29.70777,0,0,0,0,涪陵区
50010210000035,重庆****寻网吧,107.404405,29.712899,0,0,0,0,涪陵区
50010210000036,重庆****狮网吧,107.405772,29.71527,1,14,0,0,涪陵区
50010210000039,重庆****浓网吧,107.387456,29.711494,0,0,0,0,涪陵区
