SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010310000136,渝中****爽网吧,106.559386,29.559703,0,0,0,0,渝中区
50010310000140,渝中****子网吧,106.555508,29.556424,0,0,1,3,渝中区
50010310000141,渝中****玲网吧,106.523641,29.543564,0,0,1,25,渝中区
50010310000142,渝中****天网吧,106.517554,29.536215,0,0,0,0,渝中区
50010310000146,渝中****使网吧,106.542213,29.554029,0,0,0,0,渝中区
50010310000147,渝中****阵网吧,106.585955,29.560937,0,0,0,0,渝中区
50010310000149,渝中****禧网吧,106.585058,29.562275,0,0,0,0,渝中区
50010310000150,渝中****天网城,106.526213,29.54651,0,0,1,7,渝中区
50010310000151,渝中****禾网吧,106.566559,29.563275,0,0,0,0,渝中区
50010310000152,渝中****光网吧,106.583128,29.555946,0,0,0,0,渝中区
50010310000157,渝中****秋网吧,106.556196,29.555553,0,0,0,0,渝中区
50010310000162,渝中****源天地,106.575309,29.562821,0,0,0,0,渝中区
50010310000163,渝中****感网吧,106.517554,29.536215,0,0,1,8,渝中区
50010310000167,渝中****网吧）,106.555522,29.558695,0,0,0,0,渝中区
50010310000172,渝中****黑网吧,106.569826,29.562121,0,0,0,0,渝中区
50010310000173,渝中****辉网吧,106.579879,29.563012,0,0,0,0,渝中区
50010310000174,渝中****情网吧,106.521976,29.541863,0,0,1,3,渝中区
50010310000175,渝中****圣网吧,106.573266,29.560645,0,0,0,0,渝中区
50010310000179,渝中****禾网吧,106.568431,29.560983,0,0,0,0,渝中区
50010310000181,渝中****网吧),106.576432,29.562282,0,0,1,2,渝中区
50010310000226,渝中****土网吧,106.585451,29.559489,0,0,1,1,渝中区
50010310000228,渝中****事通）,106.566933,29.56189,0,0,0,0,渝中区
50010310000184,渝中****国网吧,106.552102,29.564998,0,0,1,3,渝中区
50010310000185,渝中****恋网吧,106.523903,29.544944,0,0,0,0,渝中区
50010310000187,渝中****浩网吧,106.549094,29.561201,0,0,0,0,渝中区
50010310000188,渝中****浪网吧,106.537551,29.543972,0,0,0,0,渝中区
50010310000189,渝中****上网吧,106.558358,29.556987,0,0,0,0,渝中区
50010310000190,渝中****网吧),106.577114,29.560816,0,0,0,0,渝中区
50010310000192,渝中****点网吧,106.532397,29.548196,0,0,0,0,渝中区
50010310000193,渝中****琦网吧,106.543731,29.554621,0,0,0,0,渝中区
50010310000196,渝中****牛网吧,106.581336,29.556472,0,0,0,0,渝中区
50010310000198,（渝****网吧),106.576326,29.560343,0,0,0,0,渝中区
50010310000199,渝中****村网吧,106.547949,29.558616,0,0,0,0,渝中区
50010310000200,渝中****5网吧,106.522326,29.544037,0,0,0,0,渝中区
50010310000206,渝中****团网吧,106.548895,29.561249,0,0,0,0,渝中区
50010310000207,渝中****网吧),106.552192,29.564769,0,0,0,0,渝中区
50010310000213,渝中****利网吧,106.56815,29.560679,0,0,1,1,渝中区
50010310000214,渝中****佳网吧,106.581658,29.558778,0,0,1,2,渝中区
