SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010510000042,江北****儿网吧,106.492853,29.593183,0,0,0,0,渝北区
50010510000043,江北****会所）,106.550808,29.587238,0,0,0,0,渝北区
50010510000048,江北****潮网吧,106.538727,29.587331,1,133,1,1,渝北区
50010510000049,江北****会所）,106.496381,29.583907,0,0,0,0,渝北区
50010510000051,江北****会所）,106.530324,29.590497,1,181,1,1,渝北区
50010510000057,江北****垣网吧,106.503088,29.574069,0,0,0,0,渝北区
50010510000062,江北****萝网吧,106.496426,29.575327,1,54,1,3,渝北区
50010510000066,江北****会所）,106.538727,29.587331,0,0,0,0,渝北区
50010510000076,江北****会所),106.49793,29.574696,1,462,1,2,渝北区
50010510000079,江北****扬网吧,106.491248,29.589127,0,0,0,0,渝北区
50010510000088,江北****帕网吧,106.542134,29.589009,0,0,0,0,渝北区
50010510000089,江北****城网吧,106.542096,29.584003,0,0,0,0,渝北区
50010510000098,江北****雅网吧,106.534236,29.590561,0,0,0,0,渝北区
50010510000112,江北****会所）,106.53799,29.588964,1,154,1,1,渝北区
50010510000003,江北****飞网吧,106.492697,29.584911,0,0,0,0,渝北区
50010510000140,江北****会所）,106.497763,29.57436,1,389,1,1,渝北区
50010510000142,江北****风网城,106.490587,29.587875,0,0,0,0,渝北区
50010510000114,江北****会所）,106.538438,29.589462,1,46,1,2,渝北区
50010510000116,江北****强网吧,106.534461,29.58742,0,0,0,0,渝北区
50010510000117,江北****家园),106.530087,29.58768,1,214,1,4,渝北区
50010510000118,江北****鑫网吧,106.548262,29.582436,0,0,0,0,渝北区
50010510000120,江北****宁网吧,106.54704,29.589327,1,6,0,0,渝北区
50010510000129,江北****乐部）,106.54584,29.584001,0,0,0,0,渝北区
50010510000130,江北****会所）,106.497119,29.574042,1,31,0,0,渝北区
50011210000001,渝北****源网吧,106.63545,29.722203,0,0,1,3,渝北区
50011210000002,渝北****城网吧,106.645553,29.747432,0,0,1,4,渝北区
