SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50022310000001,潼南****隆网吧,105.850042,30.195379,0,0,0,0,潼南区
50022310000002,潼南****新网吧,105.771293,30.034445,0,0,0,0,潼南区
50022310000003,潼南****潮网吧,105.840918,30.181976,0,0,0,0,潼南区
50022310000004,潼南****俱乐部,105.845358,30.194358,0,0,0,0,潼南区
50022310000005,潼南****宇网吧,105.843484,30.174443,0,0,0,0,潼南区
50022310000006,潼南****兴网吧,105.771293,30.034445,0,0,0,0,潼南区
50022310000007,潼南****幻网吧,105.722959,30.097178,0,0,0,0,潼南区
50022310000008,潼南****浪网吧,105.813464,30.017055,0,0,0,0,潼南区
50022310000010,潼南****悦网吧,105.843484,30.174443,0,0,0,0,潼南区
50022310000011,潼南****月网吧,105.725341,30.095191,0,0,0,0,潼南区
50022310000012,潼南****情网吧,105.843484,30.174443,0,0,0,0,潼南区
50022310000013,潼南****极网吧,105.79842,29.91512,0,0,0,0,潼南区
50022310000014,潼南****南网吧,105.838472,30.183301,0,0,1,4,潼南区
50022310000015,潼南****昌网吧,105.82521,30.183998,0,0,0,0,潼南区
50022310000016,潼南****俱乐部,105.843484,30.174443,0,0,0,0,潼南区
50022310000017,潼南****络会所,105.843484,30.174443,0,0,0,0,潼南区
50022310000019,潼南****络会所,105.82441,30.183727,0,0,0,0,潼南区
50022310000020,潼南****缘网吧,105.753337,30.222137,0,0,0,0,潼南区
50022310000021,潼南****络会所,105.818303,30.185498,0,0,0,0,潼南区
50022310000022,潼南****纪网吧,105.82254,30.183296,0,0,0,0,潼南区
50022310000023,潼南****络会所,105.845181,30.194655,0,0,0,0,潼南区
50022310000024,潼南****锋网吧,105.842848,30.172005,0,0,0,0,潼南区
50022310000025,潼南****络会所,105.84892,30.197512,0,0,0,0,潼南区
50022310000026,潼南****络会所,105.82521,30.183998,0,0,0,0,潼南区
50022310000027,潼南****络会所,105.842227,30.175342,0,0,0,0,潼南区
50022310000028,潼南****络会所,105.843484,30.174443,0,0,0,0,潼南区
50022310000029,潼南****极网吧,105.771293,30.034445,0,0,0,0,潼南区
50022310000030,潼南****星网吧,105.82521,30.183998,0,0,0,0,潼南区
50022310000031,潼南****络会所,105.82254,30.183296,0,0,0,0,潼南区
50022310000032,潼南****梦网吧,105.91886,30.253778,0,0,0,0,潼南区
50022310000033,潼南****成网吧,105.819984,30.182436,0,0,0,0,潼南区
50022310000034,潼南****辉网吧,105.82521,30.183998,0,0,0,0,潼南区
50022310000035,潼南****络会所,105.842848,30.172005,0,0,0,0,潼南区
50022310000036,潼南****鸽网吧,105.897945,29.9642,0,0,0,0,潼南区
50022310000037,潼南****休闲吧,105.753498,30.222314,0,0,0,0,潼南区
50011710000096,重庆****益网吧,105.962786,30.349728,1,2,0,0,潼南区
50022310000038,潼南****星网吧,105.819169,30.182213,0,0,0,0,潼南区
50022310000039,潼南****弟网吧,105.853918,30.194641,0,0,0,0,潼南区
50022310000040,潼南****源网吧,105.847975,30.202512,0,0,0,0,潼南区
50022310000041,潼南****络会所,105.851221,30.197884,0,0,0,0,潼南区
50022310000042,潼南****旺网吧,105.771293,30.034445,0,0,0,0,潼南区
50022310000043,潼南****络会所,105.838185,30.171071,0,0,1,2,潼南区
50022310000044,潼南****络会所,105.853128,30.195246,0,0,0,0,潼南区
50022310000045,潼南****络会所,105.850012,30.195509,0,0,0,0,潼南区
50022310000046,潼南****络会所,105.844385,30.198249,0,0,0,0,潼南区
50022310000047,潼南****诚网吧,105.839915,30.182377,0,0,0,0,潼南区
50022310000048,潼南****克网吧,105.818065,30.184594,0,0,0,0,潼南区
50022310000050,潼南****祥网吧,105.785713,30.327598,0,0,0,0,潼南区
50022310000051,潼南****语网吧,105.722395,30.097083,0,0,0,0,潼南区
50022310000052,潼南****风网吧,105.786074,30.326558,0,0,0,0,潼南区
50022310000053,潼南****源网吧,105.615729,30.160816,0,0,0,0,潼南区
50022310000054,潼南****络会所,105.84957,30.19789,0,0,0,0,潼南区
50022310000055,潼南****越网吧,105.840186,30.174154,0,0,0,0,潼南区
50022310000056,潼南****河网吧,105.624085,30.158217,0,0,0,0,潼南区
50022310000057,潼南****络会所,105.880631,30.332246,0,0,0,0,潼南区
50022310000059,潼南****赐网吧,105.88036,30.330921,0,0,0,0,潼南区
50022310000060,潼南****络会所,105.843484,30.174443,0,0,0,0,潼南区
50022310000061,潼南****络会所,105.755868,30.213885,0,0,0,0,潼南区
50022310000062,潼南****来网吧,105.797705,29.911988,0,0,0,0,潼南区
50022310000063,潼南****来网吧,105.847975,30.202512,0,0,0,0,潼南区
50022310000009,潼南****天网吧,105.819711,30.184397,0,0,0,0,潼南区
