SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50010610002073,沙坪****欣阳店,106.30299,29.840699,0,0,0,0,璧山区
50010610009010,重庆****姐网吧,106.262026,29.634767,0,0,0,0,璧山区
50022710000081,（璧****号网咖,106.234147,29.599185,0,0,0,0,璧山区
50022710000080,(璧****乙网吧,106.23304,29.579569,0,0,0,0,璧山区
50022710000058,璧山****纪网吧,106.231202,29.601653,0,0,0,0,璧山区
50022710000059,璧山****络会所,106.239341,29.588766,0,0,0,0,璧山区
50022710000060,璧山****方网吧,106.230194,29.730166,0,0,0,0,璧山区
50022710000061,璧山****华网吧,106.241535,29.475313,0,0,0,0,璧山区
50022710000062,璧山****乙网吧,106.232618,29.567339,0,0,0,0,璧山区
50022710000063,璧山****天网吧,106.233088,29.600938,0,0,0,0,璧山区
50022710000065,璧山****汇网吧,106.241535,29.475313,0,0,1,1,璧山区
50022710000069,璧山****会所）,106.239148,29.601081,0,0,0,0,璧山区
50022710000070,璧山****鸿网吧,106.245109,29.478685,0,0,1,2,璧山区
50022710000072,璧山****闲会所,106.237197,29.570043,0,0,0,0,璧山区
50022710000073,璧山****通网吧,106.234579,29.577964,0,0,0,0,璧山区
50022710000074,璧山****代网吧,106.240673,29.605856,0,0,0,0,璧山区
50022710000075,璧山****盟网吧,106.237537,29.590961,0,0,0,0,璧山区
50022710000076,璧山****达网城,106.237992,29.591384,0,0,0,0,璧山区
50022710000077,璧山****会所）,106.238633,29.571339,0,0,0,0,璧山区
50022710000078,璧山****海网吧,106.236619,29.562163,0,0,0,0,璧山区
50022710000079,璧山****园网吧,106.241638,29.600594,0,0,0,0,璧山区
50022710000057,璧山****丰网吧,106.239452,29.551797,0,0,1,2,璧山区
50022710000002,璧山****会所）,106.242986,29.469004,0,0,0,0,璧山区
50022710000003,璧山****球网吧,106.161434,29.417496,0,0,0,0,璧山区
50022710000004,璧山****闲中心,106.232819,29.566556,0,0,1,38,璧山区
50022710000005,璧山****网吧）,106.23918,29.562391,0,0,0,0,璧山区
50022710000007,璧山****美网吧,106.240942,29.602456,0,0,0,0,璧山区
50022710000008,璧山****情网吧,106.241125,29.470977,0,0,0,0,璧山区
50022710000009,璧山****90）,106.232379,29.564083,0,0,0,0,璧山区
50022710000011,璧山****闲会所,106.237992,29.591384,0,0,0,0,璧山区
50022710000012,璧山****都网吧,106.228188,29.591302,0,0,0,0,璧山区
50022710000014,璧山****凰网城,106.234831,29.598604,0,0,0,0,璧山区
50022710000016,璧山****龙网吧,106.233444,29.595589,0,0,0,0,璧山区
50022710000019,璧山****星网吧,106.244624,29.470367,0,0,0,0,璧山区
50022710000020,璧山****络会所,106.240446,29.598491,0,0,0,0,璧山区
50022710000022,璧山****聊网吧,106.162918,29.416949,0,0,0,0,璧山区
50022710000023,璧山****浪网吧,106.155955,29.413361,0,0,0,0,璧山区
50022710000024,璧山****乐网吧,106.164164,29.417205,0,0,0,0,璧山区
50022710000025,璧山****煌网吧,106.234999,29.595389,0,0,0,0,璧山区
50022710000027,璧山****驰网吧,106.148465,29.412735,0,0,0,0,璧山区
50022710000028,璧山****限网吧,106.224888,29.440357,0,0,0,0,璧山区
50022710000029,璧山****宇网吧,106.243921,29.476473,0,0,0,0,璧山区
50022710000030,璧山****宝网吧,106.221116,29.4406,0,0,1,1,璧山区
50022710000033,璧山****美网吧,106.244007,29.596362,0,0,0,0,璧山区
50022710000037,璧山****络会所,106.243098,29.467652,0,0,0,0,璧山区
50022710000038,璧山****会所）,106.224888,29.440357,0,0,0,0,璧山区
50022710000040,璧山****斯网吧,106.238096,29.572175,0,0,0,0,璧山区
50022710000042,璧山****星网吧,106.232379,29.564083,0,0,1,13,璧山区
50022710000043,璧山****会所）,106.241973,29.48046,0,0,0,0,璧山区
50022710000050,璧山****网域）,106.241923,29.558896,0,0,0,0,璧山区
50022710000052,璧山****年网吧,106.302415,29.839945,0,0,0,0,璧山区
50022710000053,璧山****美网吧,106.240049,29.576745,0,0,0,0,璧山区
50022710000054,璧山****春网吧,106.242783,29.591778,0,0,0,0,璧山区
50022710000056,璧山****科网吧,106.292613,29.783169,0,0,0,0,璧山区
50022710000018,璧山****鸟网吧,106.233302,29.579555,0,0,0,0,璧山区
50022710000006,璧山****针网吧,106.243268,29.470774,0,0,0,0,璧山区
50022710000026,（璧****潮网吧,106.239011,29.558194,0,0,0,0,璧山区
50022710000039,璧山****通网吧,106.244626,29.597026,0,0,0,0,璧山区
