SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50023310000039,忠县****来网吧,108.130031,30.295582,0,0,0,0,石柱土家族自治县
50024010000001,石柱****山网吧,108.121469,30.002333,0,0,0,0,石柱土家族自治县
50024010000002,石柱****心网吧,108.12285,29.995137,0,0,0,0,石柱土家族自治县
50024010000003,石柱****云网吧,108.134232,29.99976,0,0,1,1,石柱土家族自治县
50024010000004,石柱****字网吧,108.12355,30.005641,0,0,0,0,石柱土家族自治县
50024010000005,石柱****远网吧,108.117375,30.006673,0,0,0,0,石柱土家族自治县
50024010000006,石柱****情深）,108.118201,29.999393,0,0,0,0,石柱土家族自治县
50024010000007,石柱****网吧),108.30489,30.099637,0,0,0,0,石柱土家族自治县
50024010000010,石柱****桐网吧,108.12285,29.995137,0,0,0,0,石柱土家族自治县
50024010000011,石柱****恒网吧,108.400029,30.248301,0,0,0,0,石柱土家族自治县
50024010000013,石柱****运网吧,108.220896,30.405369,0,0,0,0,石柱土家族自治县
50024010000014,石柱****兴网吧,108.220896,30.405369,0,0,0,0,石柱土家族自治县
50024010000015,石柱****语网吧,108.063046,29.939167,0,0,0,0,石柱土家族自治县
50023010000076,丰都****翔网吧,108.039021,29.916463,0,0,0,0,石柱土家族自治县
50023010000077,丰都****飞网吧,108.161901,29.892062,0,0,0,0,石柱土家族自治县
