SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50024110000064,念念****念网吧,108.89127,28.52745,0,0,0,0,秀山土家族苗族自治县
50024110000005,秀山****网吧）,108.998241,28.449041,0,0,1,3,秀山土家族苗族自治县
50024110000006,秀山****网吧）,108.864764,28.392886,0,0,0,0,秀山土家族苗族自治县
50024110000007,秀山****网吧）,109.067782,28.386323,0,0,0,0,秀山土家族苗族自治县
50024110000008,秀山****网吧）,108.996332,28.451403,0,0,0,0,秀山土家族苗族自治县
50024110000009,秀山****网吧）,109.018524,28.451723,0,0,0,0,秀山土家族苗族自治县
50024110000010,秀山****网吧）,109.201846,28.7531,0,0,0,0,秀山土家族苗族自治县
50024110000011,秀山****网吧）,109.006659,28.442164,0,0,0,0,秀山土家族苗族自治县
50024110000012,秀山****网吧）,108.930597,28.422531,0,0,0,0,秀山土家族苗族自治县
50024110000013,秀山****网吧）,109.008121,28.459287,0,0,0,0,秀山土家族苗族自治县
50024110000014,秀山****网吧）,109.190821,28.685764,0,0,0,0,秀山土家族苗族自治县
50024110000015,秀山****网吧）,109.201846,28.7531,0,0,0,0,秀山土家族苗族自治县
50024110000016,秀山****网吧）,109.197904,28.745629,0,0,0,0,秀山土家族苗族自治县
50024110000017,秀山****网吧）,109.042236,28.267867,0,0,0,0,秀山土家族苗族自治县
50024110000018,秀山****网吧）,108.89127,28.52745,0,0,0,0,秀山土家族苗族自治县
50024110000020,秀山****网络）,109.000215,28.448504,0,0,0,0,秀山土家族苗族自治县
50024110000021,秀山****网吧）,108.994137,28.454612,0,0,1,2,秀山土家族苗族自治县
50024110000048,秀山****网吧）,109.011923,28.421839,0,0,0,0,秀山土家族苗族自治县
50024110000049,秀山****网吧）,108.892324,28.529855,0,0,0,0,秀山土家族苗族自治县
50024110000050,秀山****网吧）,109.042236,28.267867,0,0,0,0,秀山土家族苗族自治县
50024110000051,秀山****网吧）,109.188295,28.462214,0,0,0,0,秀山土家族苗族自治县
50024110000052,秀山****网吧）,108.918353,28.404439,0,0,0,0,秀山土家族苗族自治县
50024110000053,秀山****网吧）,109.000704,28.440957,0,0,0,0,秀山土家族苗族自治县
50024110000054,秀山****网吧）,108.993706,28.45504,0,0,0,0,秀山土家族苗族自治县
50024110000055,秀山****网吧）,109.03939,28.264763,0,0,0,0,秀山土家族苗族自治县
50024110000056,秀山****网吧）,109.026618,28.510128,0,0,0,0,秀山土家族苗族自治县
50024110000057,秀山****网吧）,109.040206,28.316941,0,0,0,0,秀山土家族苗族自治县
50024110000058,秀山****网吧）,109.000558,28.450435,0,0,0,0,秀山土家族苗族自治县
50024110000059,秀山****网吧）,109.00458,28.189072,0,0,0,0,秀山土家族苗族自治县
50024110000060,秀山****网吧）,108.918353,28.404439,0,0,0,0,秀山土家族苗族自治县
50024110000061,秀山****网吧）,108.931609,28.422823,0,0,0,0,秀山土家族苗族自治县
50024110000062,秀山****网吧）,109.026618,28.510128,0,0,0,0,秀山土家族苗族自治县
50024110000022,秀山****网吧）,109.000558,28.450435,0,0,0,0,秀山土家族苗族自治县
50024110000025,秀山****网吧）,109.002452,28.454027,0,0,0,0,秀山土家族苗族自治县
50024110000026,秀山****网吧）,109.060964,28.610991,0,0,0,0,秀山土家族苗族自治县
50024110000027,秀山****网吧）,108.985978,28.458219,0,0,0,0,秀山土家族苗族自治县
50024110000028,秀山****网吧）,109.005006,28.42974,0,0,0,0,秀山土家族苗族自治县
50024110000029,秀山****网吧）,108.971199,28.300872,0,0,0,0,秀山土家族苗族自治县
50024110000030,秀山****网吧）,108.813699,28.332004,0,0,0,0,秀山土家族苗族自治县
50024110000031,秀山****网吧）,109.297534,28.57452,0,0,0,0,秀山土家族苗族自治县
50024110000032,秀山****宏网吧,108.946998,28.458167,0,0,0,0,秀山土家族苗族自治县
50024110000033,秀山****网吧）,109.006302,28.449194,0,0,0,0,秀山土家族苗族自治县
50024110000034,秀山****网吧）,109.000558,28.450435,0,0,0,0,秀山土家族苗族自治县
50024110000035,秀山****网吧）,108.930597,28.422531,0,0,0,0,秀山土家族苗族自治县
50024110000036,秀山****网吧）,109.005254,28.191432,0,0,0,0,秀山土家族苗族自治县
50024110000037,秀山****网吧）,109.19195,28.529323,0,0,0,0,秀山土家族苗族自治县
50024110000038,秀山****网吧）,108.892324,28.529855,0,0,0,0,秀山土家族苗族自治县
50024110000039,秀山****网吧）,108.993706,28.45504,0,0,1,12,秀山土家族苗族自治县
50024110000040,秀山****网吧）,108.892324,28.529855,0,0,0,0,秀山土家族苗族自治县
50024110000041,秀山****网吧）,109.000558,28.450435,0,0,0,0,秀山土家族苗族自治县
50024110000042,秀山****网吧）,109.00008,28.449731,0,0,0,0,秀山土家族苗族自治县
50024110000043,秀山****网吧）,109.002729,28.447926,0,0,0,0,秀山土家族苗族自治县
50024110000044,秀山****网吧）,108.918353,28.404439,0,0,0,0,秀山土家族苗族自治县
50024110000045,秀山****网吧）,109.020051,28.450794,0,0,0,0,秀山土家族苗族自治县
50024110000047,秀山****网吧）,109.025321,28.498315,0,0,0,0,秀山土家族苗族自治县
50024110000001,秀山****网吧）,108.889717,28.526868,0,0,0,0,秀山土家族苗族自治县
50024110000002,秀山****网吧）,108.999317,28.450123,0,0,0,0,秀山土家族苗族自治县
50024110000003,秀山****网吧）,109.011264,28.450394,0,0,0,0,秀山土家族苗族自治县
50024210000028,酉阳****络会所,108.908922,28.551102,0,0,0,0,秀山土家族苗族自治县
50010110000188,万州****言网吧,108.918353,28.404439,0,0,0,0,秀山土家族苗族自治县
50010110000051,万州****源网吧,109.007886,28.444507,0,0,0,0,秀山土家族苗族自治县
50023210000018,武隆****声网吧,108.930597,28.422531,0,0,0,0,秀山土家族苗族自治县
50022510000050,大足****络会所,108.999317,28.450123,0,0,0,0,秀山土家族苗族自治县
50011710000099,重庆****迪网吧,108.946998,28.458167,0,0,0,0,秀山土家族苗族自治县
50022610000002,荣昌****尚网吧,109.201846,28.7531,0,0,1,2,秀山土家族苗族自治县
50024110000024,秀山****网吧）,109.057567,28.613301,0,0,0,0,秀山土家族苗族自治县
