SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50011010000001,重庆****通网吧,106.93433,28.956449,0,0,0,0,綦江区
50011010000003,重庆****苗网吧,106.932348,28.953107,1,1,0,0,綦江区
50011010000004,重庆****华网吧,106.828968,28.927803,0,0,0,0,綦江区
50011010000006,重庆****城网吧,106.935805,28.964359,1,19,0,0,綦江区
50011010000007,重庆****游网吧,106.890496,28.949914,0,0,0,0,綦江区
50011010000009,重庆****心网吧,106.932106,28.9551,0,0,0,0,綦江区
50011010000010,重庆****剑网吧,106.932557,28.966596,0,0,0,0,綦江区
50011010000011,重庆****逸网吧,106.939874,28.950776,0,0,0,0,綦江区
50011010000012,重庆****梅网吧,106.84667,28.869577,0,0,0,0,綦江区
50011010000013,重庆****三网吧,106.889191,28.948494,0,0,0,0,綦江区
50011010000015,重庆****星网吧,106.933681,28.962879,0,0,0,0,綦江区
50011010000016,重庆****静网吧,106.936968,28.961469,1,1,0,0,綦江区
50011010000017,重庆****网城),106.936486,28.957106,0,0,0,0,綦江区
50011010000020,重庆****兰网吧,106.931089,28.967182,0,0,0,0,綦江区
50011010000021,重庆****来网吧,106.923721,28.916489,1,35,0,0,綦江区
50011010000023,重庆****珠网吧,106.82041,28.821642,0,0,0,0,綦江区
50011010000024,重庆****云网吧,106.889211,28.950105,0,0,0,0,綦江区
50011010000025,重庆****安网吧,106.939157,28.95077,0,0,0,0,綦江区
50011010000028,重庆****秋网吧,106.788929,28.837951,0,0,0,0,綦江区
50011010000029,重庆****旭网吧,106.93462,28.959037,1,38,0,0,綦江区
50011010000031,重庆****创网吧,106.931089,28.967182,0,0,0,0,綦江区
50011010000032,重庆****源网吧,106.932183,28.967661,1,26,0,0,綦江区
50011010000033,重庆****云网吧,106.942051,28.949825,0,0,0,0,綦江区
50011010000034,重庆****舟网吧,106.935953,28.958557,0,0,0,0,綦江区
50011010000035,重庆****八网吧,106.932907,28.961378,0,0,0,0,綦江区
50011010000038,重庆****游网吧,106.939157,28.95077,1,1,0,0,綦江区
50011010000039,重庆****伟网吧,106.892498,28.928522,0,0,0,0,綦江区
50022210000068,綦江****网吧）,106.772228,28.930274,0,0,0,0,綦江区
50022210000069,(加****A区),106.663564,29.023866,0,0,0,0,綦江区
50022210000070,綦江****网吧）,106.720753,28.583033,0,0,0,0,綦江区
50022210000071,綦江****网吧),106.727658,28.745694,1,1,0,0,綦江区
50022210000072,綦江****网吧）,106.765318,28.835884,0,0,0,0,綦江区
