SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50015110000091,高新****会所）,105.584481,29.40516,0,0,0,0,荣昌区
50022610000001,荣昌****华网吧,105.605394,29.408067,0,0,0,0,荣昌区
50022610000003,荣昌****代网吧,105.602444,29.411221,0,0,0,0,荣昌区
50022610000004,荣昌****未用）,105.599033,29.411416,0,0,0,0,荣昌区
50022610000005,荣昌****地网吧,105.605394,29.408067,0,0,0,0,荣昌区
50022610000006,重庆****州网城,105.603357,29.410084,0,0,1,3,荣昌区
50022610000007,荣昌****纪网吧,105.60304,29.410415,0,0,0,0,荣昌区
50022610000008,荣昌****聚网吧,105.611825,29.41052,0,0,1,1,荣昌区
50022610000009,荣昌****业网吧,105.605394,29.408067,0,0,1,2,荣昌区
50022610000011,荣昌****湾网吧,105.601928,29.410549,0,0,0,0,荣昌区
50022610000012,荣昌****车网吧,105.60403,29.410039,0,0,1,1,荣昌区
50022610000013,荣昌****网网吧,105.607215,29.41955,0,0,0,0,荣昌区
50022610000014,荣昌****辉网吧,105.605394,29.408067,0,0,0,0,荣昌区
50022610000016,荣昌****闲会所,105.61159,29.410827,0,0,1,2,荣昌区
50022610000017,荣昌****格网吧,105.597892,29.408036,0,0,1,2,荣昌区
50022610000018,荣昌****桥网吧,105.605494,29.408158,0,0,0,0,荣昌区
50022610000019,荣昌****通网吧,105.60154,29.411638,0,0,0,0,荣昌区
50022610000020,荣昌****仕网吧,105.60403,29.410039,0,0,0,0,荣昌区
50022610000021,荣昌****诚网吧,105.589654,29.406932,0,0,1,5,荣昌区
50022610000023,荣昌****友网吧,105.590353,29.418605,0,0,0,0,荣昌区
50022610000025,荣昌****盖网吧,105.609325,29.408064,0,0,0,0,荣昌区
50022610000026,荣昌****兴网吧,105.605394,29.408067,0,0,0,0,荣昌区
50022610000027,荣昌****益网吧,105.60061,29.409278,0,0,1,1,荣昌区
50022610000028,荣昌****未用),105.484672,29.285785,0,0,0,0,荣昌区
50022610000029,荣昌****馨网吧,105.597097,29.407464,0,0,0,0,荣昌区
50022610000030,荣昌****派网吧,105.612129,29.410024,0,0,0,0,荣昌区
50022610000031,荣昌****鸟网吧,105.534876,29.377834,0,0,0,0,荣昌区
50022610000032,荣昌****达网吧,105.534688,29.376365,0,0,1,8,荣昌区
50022610000033,荣昌****欣网吧,105.631908,29.412067,0,0,0,0,荣昌区
50022610000035,荣昌****手网吧,105.529469,29.37682,0,0,0,0,荣昌区
50022610000036,荣昌****彬网吧,105.596146,29.407802,0,0,0,0,荣昌区
50022610000037,荣昌****遥网吧,105.534368,29.378625,0,0,0,0,荣昌区
50022610000038,荣昌****伟网吧,105.610476,29.419603,0,0,0,0,荣昌区
50022610000039,荣昌****虫网吧,105.596402,29.407649,0,0,0,0,荣昌区
50022610000040,荣昌****网吧）,105.572159,29.524938,0,0,0,0,荣昌区
50022610000041,荣昌****怡网吧,105.553927,29.568691,0,0,0,0,荣昌区
50022610000042,荣昌****玖网吧,105.457355,29.438679,0,0,0,0,荣昌区
50022610000043,荣昌****翔网吧,105.479242,29.36476,0,0,0,0,荣昌区
50022610000044,荣昌****谊网吧,105.476529,29.362671,0,0,1,4,荣昌区
50022610000046,荣昌****宇网吧,105.477917,29.361542,0,0,0,0,荣昌区
50022610000048,荣昌****乐网吧,105.479242,29.36476,0,0,0,0,荣昌区
50022610000049,荣昌****天网吧,105.522094,29.321454,0,0,0,0,荣昌区
50022610000050,荣昌****年网吧,105.685616,29.430143,0,0,0,0,荣昌区
50022610000051,荣昌****文网吧,105.579925,29.323754,0,0,0,0,荣昌区
50022610000052,荣昌****波网吧,105.490882,29.513084,0,0,0,0,荣昌区
50022610000053,荣昌****年网吧,105.599759,29.489763,0,0,0,0,荣昌区
50022610000055,荣昌****点网吧,105.580111,29.324664,0,0,0,0,荣昌区
50022610000056,荣昌****速网吧,105.40244,29.638822,0,0,0,0,荣昌区
50022610000057,荣昌****月网吧,105.40244,29.638822,0,0,0,0,荣昌区
50022610000058,荣昌****浪网吧,105.40244,29.638822,0,0,1,4,荣昌区
50022610000059,荣昌****君网吧,105.489136,29.510762,0,0,0,0,荣昌区
50022610000060,荣昌****洒网吧,105.572159,29.524938,0,0,0,0,荣昌区
50022610000061,荣昌****际网吧,105.58045,29.32293,0,0,0,0,荣昌区
50022610000062,亚联****南网吧,105.60403,29.410039,0,0,0,0,荣昌区
50022610000063,荣昌****豆网吧,105.534211,29.378252,0,0,0,0,荣昌区
50022610000064,荣昌****络会所,105.599942,29.410323,0,0,1,1,荣昌区
50022610000065,亚联****鹏网吧,105.512656,29.471196,0,0,0,0,荣昌区
50022610000066,亚联****网吧）,105.596541,29.408324,0,0,0,0,荣昌区
50022610000067,荣昌****未用）,105.603148,29.409195,0,0,0,0,荣昌区
50022610000068,荣昌****铜网吧,105.530512,29.375503,0,0,0,0,荣昌区
50022610000069,荣昌****地网吧,105.610413,29.41428,0,0,0,0,荣昌区
50022610000070,荣昌****菊网吧,105.484597,29.291136,0,0,0,0,荣昌区
50022610000071,荣昌****络会所,105.591908,29.412605,0,0,1,4,荣昌区
50022610000072,荣昌****络会所,105.594652,29.414074,0,0,1,1,荣昌区
50022610000073,荣昌****网吧）,105.608455,29.419638,0,0,0,0,荣昌区
50022610000022,荣昌****好网吧,105.60403,29.410039,0,0,0,0,荣昌区
50022610000045,荣昌****正网吧,105.479242,29.36476,0,0,1,2,荣昌区
50022610000054,荣昌****寻网吧,105.484672,29.285785,0,0,0,0,荣昌区
