SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50024210000003,酉阳****络会所,108.778086,28.832715,0,0,1,1,酉阳土家族苗族自治县
50024210000007,酉阳****络会所,108.826813,28.748278,0,0,0,0,酉阳土家族苗族自治县
50024210000010,酉阳****络会所,108.774202,28.863001,0,0,0,0,酉阳土家族苗族自治县
50024210000014,酉阳****络会所,108.774202,28.863001,0,0,1,1,酉阳土家族苗族自治县
50024210000015,酉阳****丰网吧,108.694063,28.783317,0,0,0,0,酉阳土家族苗族自治县
50024210000019,酉阳****喜网吧,108.775258,28.846984,0,0,0,0,酉阳土家族苗族自治县
50024210000020,酉阳****络会所,108.775807,28.850708,0,0,0,0,酉阳土家族苗族自治县
50024210000006,酉阳****哥网吧,108.742781,28.8799,0,0,0,0,酉阳土家族苗族自治县
50024210000012,酉阳****龙会所,108.773882,28.861544,0,0,0,0,酉阳土家族苗族自治县
50024210000042,酉阳****归网吧,108.972821,28.767484,0,0,0,0,酉阳土家族苗族自治县
50024210000043,酉阳****骄网吧,108.979877,28.767145,0,0,1,1,酉阳土家族苗族自治县
50024210000045,酉阳****品网吧,108.96349,28.909949,0,0,0,0,酉阳土家族苗族自治县
50024210000046,酉阳****沿网吧,108.620558,28.531926,0,0,0,0,酉阳土家族苗族自治县
50024210000047,酉阳****缘网吧,108.958901,28.896927,0,0,0,0,酉阳土家族苗族自治县
50024210000049,酉阳****印网吧,109.167897,29.096669,0,0,0,0,酉阳土家族苗族自治县
50024210000022,酉阳****居网吧,108.775807,28.850708,0,0,0,0,酉阳土家族苗族自治县
50024210000023,酉阳****热网吧,108.773882,28.861544,0,0,0,0,酉阳土家族苗族自治县
50024210000011,酉阳****络会所,108.59949,28.734957,0,0,0,0,酉阳土家族苗族自治县
50024210000025,酉阳****潮网吧,108.782492,28.856721,0,0,0,0,酉阳土家族苗族自治县
50024210000026,酉阳****络会所,108.775258,28.846984,0,0,0,0,酉阳土家族苗族自治县
50024210000027,酉阳****光网吧,108.773882,28.861544,0,0,0,0,酉阳土家族苗族自治县
50024210000030,酉阳****闲网吧,108.820463,28.752601,0,0,0,0,酉阳土家族苗族自治县
50024210000035,酉阳****络会所,108.777258,28.854602,0,0,0,0,酉阳土家族苗族自治县
50024210000036,酉阳****络会所,108.979877,28.767145,0,0,0,0,酉阳土家族苗族自治县
50024210000039,酉阳****络会所,108.972821,28.767484,0,0,0,0,酉阳土家族苗族自治县
50024210000041,酉阳****缘网吧,108.969308,28.786409,0,0,0,0,酉阳土家族苗族自治县
50024210000032,酉阳****亚网咖,108.77523,28.848774,0,0,0,0,酉阳土家族苗族自治县
50024210000052,酉阳****蕾网吧,109.067277,29.290117,0,0,0,0,酉阳土家族苗族自治县
50024210000053,酉阳****志网吧,108.556072,28.778578,0,0,0,0,酉阳土家族苗族自治县
50024210000055,酉阳****宇网吧,108.404163,28.887458,0,0,0,0,酉阳土家族苗族自治县
50024210000056,酉阳****蓝网吧,108.620558,28.531926,0,0,0,0,酉阳土家族苗族自治县
50024210000057,酉阳****宇网吧,109.137175,28.976764,0,0,0,0,酉阳土家族苗族自治县
50024210000059,酉阳****毛网吧,108.359377,28.91335,0,0,0,0,酉阳土家族苗族自治县
50024210000060,酉阳****潮网吧,108.361052,28.932134,0,0,0,0,酉阳土家族苗族自治县
50024210000062,酉阳****学网吧,108.820463,28.752601,0,0,0,0,酉阳土家族苗族自治县
50024210000063,酉阳****百网吧,108.820463,28.752601,0,0,0,0,酉阳土家族苗族自治县
50024210000064,酉阳****国网吧,109.135042,28.896395,0,0,0,0,酉阳土家族苗族自治县
50024210000065,酉阳****务会所,108.807516,29.057404,0,0,0,0,酉阳土家族苗族自治县
50024210000018,酉阳****络会所,108.775211,28.839705,0,0,0,0,酉阳土家族苗族自治县
50024210000004,酉阳****荣网吧,109.137175,28.976764,0,0,0,0,酉阳土家族苗族自治县
50023010000018,丰都****会所),108.778086,28.832715,0,0,0,0,酉阳土家族苗族自治县
50024210000034,酉阳****络会所,108.773953,28.845496,0,0,0,0,酉阳土家族苗族自治县
50024210000029,酉阳****强网吧,108.806808,28.905278,0,0,0,0,酉阳土家族苗族自治县
50024210000024,酉阳****络会所,108.774202,28.863001,0,0,0,0,酉阳土家族苗族自治县
50024210000021,酉阳****络会所,108.77348,28.862898,0,0,0,0,酉阳土家族苗族自治县
50024210000017,酉阳****络会所,108.96349,28.909949,0,0,0,0,酉阳土家族苗族自治县
50024210000008,酉阳****气网吧,108.779707,28.832109,0,0,0,0,酉阳土家族苗族自治县
50024210000031,酉阳****兴网吧,108.972823,28.98145,0,0,0,0,酉阳土家族苗族自治县
50024210000048,酉阳****浪网吧,108.958901,28.896927,0,0,0,0,酉阳土家族苗族自治县
50023210000029,武隆****友网吧,108.96349,28.909949,0,0,0,0,酉阳土家族苗族自治县
50024210000058,酉阳****凡网吧,109.137217,28.894786,0,0,0,0,酉阳土家族苗族自治县
50024210000066,酉阳****闲会所,108.784402,28.825201,0,0,0,0,酉阳土家族苗族自治县
