SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50022410000009,铜梁****会所),106.059523,29.849231,0,0,0,0,铜梁区
50022410000011,铜梁****会所）,106.058782,29.840677,0,0,0,0,铜梁区
50022410000012,铜梁****鑫网吧,106.169975,29.822834,0,0,0,0,铜梁区
50022410000013,铜梁****会所）,106.069087,29.849391,0,0,0,0,铜梁区
50022410000014,铜梁****会所）,106.144839,29.851197,0,0,0,0,铜梁区
50022410000015,铜梁****乐部）,106.054468,29.84187,0,0,0,0,铜梁区
50022410000016,铜梁****会所）,106.144839,29.851197,0,0,0,0,铜梁区
50022410000017,铜梁****会所）,106.08269,29.823307,0,0,0,0,铜梁区
50022410000019,铜梁****网城）,106.069073,29.839112,0,0,0,0,铜梁区
50022410000032,铜梁****悦网吧,105.885162,29.846706,0,0,0,0,铜梁区
50022410000033,铜梁****安网吧,106.215314,29.86824,0,0,0,0,铜梁区
50022410000036,铜梁****天网吧,106.013059,29.573652,0,0,0,0,铜梁区
50022410000037,嘉庆****庆网吧,106.039243,29.818323,0,0,0,0,铜梁区
50022410000038,铜梁****乐网吧,106.037456,29.995689,0,0,0,0,铜梁区
50022410000039,铜梁****发网吧,106.121089,29.721611,0,0,0,0,铜梁区
50022410000040,铜梁****会所）,106.046465,29.867592,0,0,0,0,铜梁区
50022410000041,铜梁****久网吧,106.170529,29.821211,0,0,0,0,铜梁区
50022410000043,铜梁****族网吧,106.122415,29.720344,0,0,0,0,铜梁区
50022410000044,铜梁****会所）,106.063025,29.842533,0,0,0,0,铜梁区
50022410000045,玉霞****霞网吧,106.064126,29.850669,0,0,0,0,铜梁区
50022510000035,大足****军网吧,105.994637,29.664606,0,0,0,0,铜梁区
50022410000020,铜梁****会所）,106.054001,29.844955,0,0,0,0,铜梁区
50022410000021,铜梁****会所）,106.144839,29.851197,0,0,1,8,铜梁区
50022410000022,铜梁****洪网吧,105.937613,29.577811,0,0,0,0,铜梁区
50022410000023,铜梁****馨网吧,106.046465,29.867592,0,0,0,0,铜梁区
50022410000024,铜梁****会所),106.061027,29.836552,0,0,0,0,铜梁区
50022410000025,铜梁****侠网吧,106.062484,29.849394,0,0,0,0,铜梁区
50022410000026,铜梁****会所）,106.064912,29.845648,0,0,0,0,铜梁区
50022410000027,铜梁****龙网吧,106.065808,29.850163,0,0,0,0,铜梁区
50022410000028,铜梁****乐部）,106.069746,29.846235,0,0,0,0,铜梁区
50022410000029,铜梁****会所）,106.054294,29.845889,0,0,1,2,铜梁区
50022410000030,铜梁****锋网吧,106.173411,29.815011,0,0,0,0,铜梁区
50022410000031,铜梁****宇网吧,105.8845,29.846096,0,0,0,0,铜梁区
50011710000137,重庆****飞网吧,106.214704,29.869501,0,0,0,0,铜梁区
50022310000049,潼南****家网吧,105.904171,30.053408,0,0,0,0,铜梁区
50022310000058,潼南****珠网吧,105.896433,29.881515,0,0,0,0,铜梁区
50022410000002,铜梁****会所）,106.059109,29.850669,0,0,0,0,铜梁区
50022410000003,铜梁****会所）,106.079394,29.823032,0,0,0,0,铜梁区
50022410000004,铜梁****会所),106.061775,29.841462,0,0,0,0,铜梁区
50022410000005,铜梁****会所）,106.061188,29.847035,0,0,0,0,铜梁区
50022410000006,铜梁****代网吧,106.074523,29.842644,0,0,0,0,铜梁区
50022410000007,铜梁****会所）,106.067559,29.850419,0,0,0,0,铜梁区
50022410000008,铜梁****会所）,106.059109,29.850669,0,0,0,0,铜梁区
50022410000010,铜梁****会所）,106.069074,29.849646,0,0,0,0,铜梁区
50022410000018,铜梁****人网吧,106.064129,29.841864,0,0,1,3,铜梁区
50022410000035,铜梁****容网吧,106.080326,29.648548,0,0,0,0,铜梁区
50022410000042,铜梁****会所）,106.144839,29.851197,0,0,0,0,铜梁区
