SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50011510000029,长寿****光网吧,107.096759,29.858825,0,0,0,0,长寿区
50011510000034,长寿****莱网吧,107.072818,29.83063,0,0,0,0,长寿区
50011510000035,长寿****络会所,107.09173,29.863142,0,0,0,0,长寿区
50011510000069,长寿****航网吧,107.077465,29.836251,0,0,0,0,长寿区
50011510000070,长寿****道网吧,107.07449,29.83764,0,0,0,0,长寿区
50011510000071,长寿****岸网吧,107.079595,29.836185,0,0,1,1,长寿区
50011510000072,长寿****友网吧,107.025755,29.80596,0,0,0,0,长寿区
50011510000073,长寿****围网吧,107.071951,29.813109,0,0,0,0,长寿区
50011510000074,长寿****兵网吧,107.093609,29.862697,0,0,0,0,长寿区
50011510000077,长寿****鹰网吧,107.081382,29.837146,0,0,0,0,长寿区
50010210000092,重庆****力网吧,107.09029,29.854153,0,0,0,0,长寿区
50011510000037,长寿****雅网吧,107.072818,29.83063,0,0,0,0,长寿区
50011510000038,长寿****迪网吧,107.0868,29.844991,0,0,0,0,长寿区
50011510000039,长寿****尚网吧,107.076019,29.834686,0,0,0,0,长寿区
50011510000041,长寿****宇网吧,107.074279,29.837124,0,0,0,0,长寿区
50011510000043,长寿****宾网吧,107.076542,29.834755,0,0,1,1,长寿区
50011510000044,长寿****龙网吧,107.07961,29.834559,0,0,0,0,长寿区
50011510000045,长寿****岸网吧,107.088364,29.851989,0,0,0,0,长寿区
50011510000046,长寿****宇网吧,107.012149,29.827057,0,0,0,0,长寿区
50011510000048,长寿****人网吧,107.00916,29.829088,0,0,0,0,长寿区
50011510000049,长寿****下网吧,107.081382,29.837146,0,0,0,0,长寿区
50011510000050,长寿****兴网吧,107.146615,29.960491,0,0,1,3,长寿区
50011510000051,长寿****泰网吧,107.025646,29.805583,0,0,0,0,长寿区
50011510000053,长寿****风网吧,107.016077,29.826432,0,0,0,0,长寿区
50011510000054,长寿****飞网吧,107.146615,29.960491,0,0,0,0,长寿区
50011510000055,长寿****点网吧,107.00622,29.82899,0,0,0,0,长寿区
50011510000057,长寿****生网吧,107.02836,29.806114,0,0,0,0,长寿区
50011510000059,长寿****胜网吧,107.076908,29.840929,0,0,0,0,长寿区
50011510000062,长寿****达网吧,106.964448,30.007162,0,0,0,0,长寿区
50011510000065,长寿****网吧 ,107.013306,29.826767,0,0,0,0,长寿区
50011510000066,长寿****佳网吧,107.072818,29.83063,0,0,0,0,长寿区
50011510000067,长寿****零网吧,107.071951,29.813109,0,0,0,0,长寿区
50011510000002,长寿****宇网吧,107.078747,29.840349,0,0,0,0,长寿区
50011510000003,长寿****邸网吧,107.08096,29.837023,0,0,1,3,长寿区
50011510000004,长寿****蒙网吧,107.084188,29.84574,0,0,1,2,长寿区
50011510000005,长寿****科网吧,107.071951,29.813109,0,0,0,0,长寿区
50011510000006,长寿****星网吧,107.080023,29.836342,0,0,0,0,长寿区
50011510000007,长寿****颗网吧,107.034373,29.904693,0,0,0,0,长寿区
50011510000008,长寿****枸网吧,107.08096,29.837023,0,0,0,0,长寿区
50011510000009,长寿****桃花店,107.091232,29.864831,0,0,1,5,长寿区
50011510000010,长寿****义网吧,107.146615,29.960491,0,0,0,0,长寿区
50011510000011,长寿****雪网吧,107.112001,29.962181,0,0,1,8,长寿区
50011510000012,长寿****思网吧,107.22531,29.896782,0,0,0,0,长寿区
50011510000013,长寿****兴网吧,107.093609,29.862697,0,0,1,2,长寿区
50011510000015,长寿****雨网吧,107.216493,29.962748,0,0,0,0,长寿区
50011510000016,长寿****红网吧,107.193549,30.019864,0,0,0,0,长寿区
50011510000018,长寿****琪网吧,107.216234,29.961359,0,0,0,0,长寿区
50011510000019,长寿****草网吧,107.21602,30.140511,0,0,0,0,长寿区
50011510000020,长寿****击网吧,107.072818,29.83063,0,0,0,0,长寿区
50011510000021,长寿****卡网吧,107.074084,29.842936,0,0,0,0,长寿区
50011510000022,长寿****舟网吧,107.088579,29.88177,0,0,0,0,长寿区
50011510000023,长寿****吧网吧,107.008048,29.8288,0,0,0,0,长寿区
50011510000026,长寿****涛网吧,107.07961,29.834559,0,0,0,0,长寿区
50011510000027,长寿****龙网吧,107.216493,29.962748,0,0,0,0,长寿区
50011510000028,长寿****家网吧,107.006913,29.828382,0,0,0,0,长寿区
50011510000092,长寿****俊网吧,107.071951,29.813109,0,0,0,0,长寿区
50011510000093,长寿****强网吧,107.246872,29.911919,0,0,0,0,长寿区
50011510000094,长寿****殿网吧,107.246872,29.911919,0,0,0,0,长寿区
50011510000078,长寿****虹网吧,107.079285,29.841709,0,0,1,1,长寿区
50011510000079,长寿****你网吧,107.078917,29.841985,0,0,0,0,长寿区
50011510000080,长寿****朋网吧,107.184831,30.086879,0,0,0,0,长寿区
50011510000081,长寿****优网吧,107.089463,29.867,0,0,0,0,长寿区
50011510000083,长寿****间网吧,107.095898,29.863393,0,0,0,0,长寿区
50011510000085,长寿****见网吧,107.087571,29.849219,0,0,0,0,长寿区
50011510000086,长寿****潮网吧,107.078178,29.840388,0,0,1,1,长寿区
50011510000088,长寿****度网吧,107.146615,29.960491,0,0,0,0,长寿区
50011510000089,长寿****鑫网吧,107.009929,29.837848,0,0,0,0,长寿区
50011510000090,长寿****界网吧,107.076019,29.834686,0,0,0,0,长寿区
50011510000091,长寿****飞网吧,107.07961,29.834559,0,0,0,0,长寿区
50023210000007,武隆****怡网吧,107.074279,29.837124,0,0,0,0,长寿区
50011510000025,长寿****翻网吧,107.093482,29.863396,0,0,0,0,长寿区
