SITEID,TITLE,lng,lat,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数,district
50011410000001,黔江****线网吧,108.795192,29.531338,0,0,0,0,黔江区
50011410000002,黔江****太网吧,108.801952,29.527531,0,0,0,0,黔江区
50011410000003,黔江****林网吧,108.795192,29.531338,0,0,0,0,黔江区
50011410000004,黔江****吧三店,108.780113,29.536504,0,0,0,0,黔江区
50011410000005,黔江****浪网吧,108.795192,29.531338,0,0,0,0,黔江区
50011410000006,黔江****吧一店,108.789093,29.531995,0,0,0,0,黔江区
50011410000007,黔江****友网吧,108.795192,29.531338,0,0,0,0,黔江区
50011410000008,黔江****场店),108.795053,29.528886,0,0,0,0,黔江区
50011410000009,黔江****忆网吧,108.790952,29.533245,0,0,0,0,黔江区
50011410000010,黔江****腾网吧,108.792979,29.530221,0,0,0,0,黔江区
50011410000011,黔江****尚网吧,108.714808,29.440981,0,0,0,0,黔江区
50011410000012,黔江****陵网吧,108.626114,29.576521,0,0,0,0,黔江区
50011410000013,黔江****山店),108.771648,29.535284,0,0,0,0,黔江区
50011410000014,黔江****天网吧,108.788302,29.532964,0,0,0,0,黔江区
50011410000015,黔江****胜网吧,108.786976,29.533326,0,0,0,0,黔江区
50011410000016,黔江****享网吧,108.793364,29.529687,0,0,0,0,黔江区
50011410000017,黔江****珠网吧,108.799431,29.527365,0,0,0,0,黔江区
50011410000019,黔江****吧二店,108.782016,29.536166,0,0,0,0,黔江区
50011410000020,黔江****镇网吧,108.780048,29.303597,0,0,0,0,黔江区
50011410000021,黔江****舞网吧,108.780048,29.303597,0,0,0,0,黔江区
50011410000023,黔江****鹏网吧,108.725384,29.138751,0,0,0,0,黔江区
50011410000024,黔江****江网吧,108.725384,29.138751,0,0,0,0,黔江区
50011410000025,黔江****城网视,108.789004,29.393579,0,0,0,0,黔江区
50011410000026,黔江****阳网吧,108.821124,29.509925,0,0,0,0,黔江区
50011410000027,黔江****点网吧,108.714808,29.440981,0,0,0,0,黔江区
50011410000028,黔江****鹏网吧,108.838583,29.540196,0,0,0,0,黔江区
50011410000029,黔江****畅网吧,108.698112,29.395215,0,0,0,0,黔江区
50011410000030,黔江****友网吧,108.673375,29.331908,0,0,0,0,黔江区
50011410000031,黔江****逸网吧,108.6117,29.772275,0,0,0,0,黔江区
50011410000032,黔江****习网吧,108.837753,29.419157,0,0,0,0,黔江区
50011410000033,黔江****家网吧,108.583768,29.499417,0,0,0,0,黔江区
50011410000034,黔江****莲网吧,108.714808,29.440981,0,0,0,0,黔江区
50011410000035,黔江****达网吧,108.862894,29.287183,0,0,0,0,黔江区
50011410000036,黔江****洋网吧,108.838811,29.540364,0,0,0,0,黔江区
50011410000037,黔江****创网吧,108.714808,29.440981,0,0,0,0,黔江区
50011410000038,黔江****客网吧,108.793157,29.529134,0,0,1,4,黔江区
50011410000039,黔江****盛网吧,108.781271,29.305891,0,0,0,0,黔江区
50011410000040,黔江****凡网吧,108.554079,29.622591,0,0,0,0,黔江区
50011410000041,黔江****吧联盟,108.599969,29.142753,0,0,0,0,黔江区
50011410000042,黔江****宇网吧,108.788813,29.538414,0,0,0,0,黔江区
50011410000043,黔江****伟网吧,108.789597,29.522929,0,0,0,0,黔江区
50011410000044,黔江****汇网吧,108.805162,29.529152,0,0,0,0,黔江区
50011410000045,黔江****阳网吧,108.838811,29.540364,0,0,0,0,黔江区
50011410000046,黔江****智网吧,108.714808,29.440981,0,0,0,0,黔江区
50011410000047,黔江****祥龙店,108.792209,29.529949,0,0,1,1,黔江区
50011410000048,黔江****捌网吧,108.838811,29.540364,0,0,0,0,黔江区
50011410000022,黔江****子网吧,108.780048,29.303597,0,0,0,0,黔江区
