SITEID,TITLE,lng,lat,Unnamed: 4,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数
50010510000039,江北****会所）,106.569253,29.586056,,1,35,0,0
50010510000040,乌托****网吧）,106.488929,29.602083,,1,13,0,0
50010510000041,江北****启网吧,106.534991,29.58135,,0,0,0,0
50010510000042,江北****儿网吧,106.492853,29.593183,,0,0,0,0
50010510000043,江北****会所）,106.550808,29.587238,,0,0,0,0
50010510000044,江北****风网吧,106.609207,29.609128,,1,6,0,0
50010510000045,江北****验吧),106.580741,29.61691,,0,0,0,0
50010510000046,江北****闲网吧,106.538275,29.577077,,0,0,1,1
50010510000048,江北****潮网吧,106.538727,29.587331,,1,133,1,1
50010510000049,江北****会所）,106.496381,29.583907,,0,0,0,0
50010510000050,江北****族网吧,106.46918,29.569437,,1,175,1,1
50010510000051,江北****会所）,106.530324,29.590497,,1,181,1,1
50010510000052,江北****渝网吧,106.484774,29.589275,,1,67,0,0
50010510000053,江北****奇网吧,106.713615,29.619318,,0,0,0,0
50010510000054,江北****会所）,106.485834,29.58671,,1,34,0,0
50010510000055,江北****络会所,106.654045,29.626645,,0,0,0,0
50010510000056,江北****网吧）,106.535837,29.578951,,1,205,0,0
50010510000057,江北****垣网吧,106.503088,29.574069,,0,0,0,0
50010510000058,江北****会所）,106.653753,29.626325,,1,277,1,2
50010510000059,江北****风网吧,106.713615,29.619318,,0,0,0,0
50010510000060,江北****天网吧,106.565767,29.590358,,1,47,0,0
50010510000061,江北****会所),106.543003,29.572391,,1,105,0,0
50010510000062,江北****萝网吧,106.496426,29.575327,,1,54,1,3
50010510000063,江北****会所）,106.532611,29.586079,,1,252,0,0
50010510000064,江北****堡网吧,106.536506,29.568164,,1,19,0,0
50010510000065,江北****顺网吧,106.767665,29.628813,,1,127,1,2
50010510000066,江北****会所）,106.538727,29.587331,,0,0,0,0
50010510000067,江北****盒网吧,106.529686,29.581309,,1,11,0,0
50010510000068,江北****会所）,106.548088,29.577105,,0,0,0,0
50010510000069,江北****会所),106.538964,29.580443,,0,0,1,2
50010510000070,江北****会所）,106.560054,29.582411,,1,685,0,0
50010510000071,江北****网吧）,106.713615,29.619318,,1,333,1,24
50010510000072,江北****嘴网吧,106.76896,29.629966,,0,0,1,1
